Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
561,200,10580671,731,168,0
563,200,10580687,669,225,0
562,200,10580687,700,195,0
564,200,10580703,639,259,0
566,200,10580718,592,322,0
565,200,10580718,613,292,0
567,200,10580734,579,348,0
568,200,10580750,572,365,0
569,200,10580750,569,376,0
570,200,10580765,567,384,0
572,200,10580781,570,395,0
571,200,10580781,567,391,0
573,200,10580796,578,399,0
575,200,10580812,606,399,0
574,200,10580812,591,399,0
576,200,10580828,624,392,0
577,200,10580828,645,382,0
578,200,10580843,666,368,0
580,200,10580859,693,347,0
579,200,10580859,680,358,0
581,200,10580875,700,338,0
583,200,10580890,711,323,0
582,200,10580890,706,331,0
584,200,10580906,714,318,0
586,200,10580921,716,308,0
585,200,10580921,716,313,0
587,200,10580937,716,303,0
589,200,10580953,706,295,0
588,200,10580953,715,299,0
590,200,10580968,691,292,0
591,200,10580984,672,292,0
592,200,10580984,643,296,0
593,200,10581000,607,309,0
595,200,10581015,530,354,0
594,200,10581015,568,330,0
596,200,10581031,494,385,0
598,200,10581046,447,445,0
597,200,10581046,466,416,0
599,200,10581062,434,471,0
600,200,10581062,429,486,0
601,200,10581078,428,496,0
603,200,10581093,435,513,0
602,200,10581093,428,506,0
604,200,10581109,446,518,0
606,200,10581125,481,515,0
605,200,10581125,460,518,0
607,200,10581140,512,503,0
609,200,10581156,578,467,0
608,200,10581156,546,487,0
610,200,10581171,609,444,0
612,200,10581187,655,395,0
611,200,10581187,635,417,0
613,200,10581203,670,373,0
614,200,10581218,677,360,0
615,200,10581218,682,347,0
616,200,10581234,685,336,0
618,200,10581250,686,323,0
617,200,10581250,686,329,0
619,200,10581265,685,319,0
621,200,10581281,665,315,0
620,200,10581281,678,315,0
622,200,10581296,642,318,0
623,200,10581296,608,333,0
624,200,10581312,571,351,0
626,200,10581328,502,407,0
625,200,10581328,536,377,0
627,200,10581343,473,439,0
629,200,10581359,439,492,0
628,200,10581359,451,471,0
630,200,10581375,434,506,0
632,200,10581390,432,525,0
631,200,10581390,432,517,0
633,200,10581406,434,531,0
635,200,10581421,458,534,0
634,200,10581421,443,534,0
636,200,10581437,478,529,0
637,200,10581453,507,513,0
638,200,10581453,539,492,0
639,200,10581468,573,466,0
641,200,10581484,626,409,0
640,200,10581484,601,437,0
642,200,10581500,647,381,0
644,200,10581515,671,332,0
643,200,10581515,660,353,0
645,200,10581531,675,320,0
646,200,10581531,677,309,0
647,200,10581546,679,303,0
649,200,10581562,680,296,0
648,200,10581562,680,299,0
650,200,10581578,680,294,0
652,200,10581593,654,299,0
651,200,10581593,675,294,0
653,200,10581609,619,317,0
655,200,10581625,542,381,0
654,200,10581625,578,346,0
656,200,10581640,506,420,0
658,200,10581656,452,506,0
657,200,10581656,477,463,0
659,200,10581671,438,537,0
660,200,10581687,429,557,0
661,200,10581687,426,567,0
662,200,10581703,424,574,0
664,200,10581718,425,580,0
663,200,10581718,424,578,0
666,200,10581734,458,569,0
665,200,10581734,437,580,0
667,200,10581750,485,551,0
668,200,10581765,519,523,0
669,200,10581765,552,493,0
670,200,10581781,584,461,0
672,200,10581796,634,400,0
671,200,10581796,612,428,0
673,200,10581812,648,380,0
675,200,10581828,660,362,0
674,200,10581828,656,369,0
676,200,10581843,663,357,0
677,200,10581859,663,354,0
678,200,10581859,664,353,0
679,200,10581875,664,352,0
680,200,10581890,659,352,0
681,200,10581906,639,360,0
683,200,10581921,594,382,0
682,200,10581921,618,370,0
684,200,10581937,567,399,0
686,200,10581953,523,435,0
685,200,10581953,543,418,0
687,200,10581968,510,446,0
689,200,10581984,495,461,0
688,200,10581984,501,454,0
691,200,10582000,489,468,0
690,200,10582000,492,464,0
692,200,10582015,487,470,0
694,200,10582031,487,476,0
693,200,10582031,487,473,0
695,200,10582046,487,480,0
697,200,10582062,490,489,0
696,200,10582062,487,485,0
698,200,10582078,494,494,0
699,200,10582093,499,497,0
700,200,10582093,503,499,0
701,200,10582109,508,500,0
703,200,10582125,520,500,0
702,200,10582125,513,500,0
704,200,10582140,526,500,0
706,200,10582156,539,493,0
705,200,10582156,533,497,0
707,200,10582171,545,490,0
708,200,10582187,551,486,0
709,200,10582187,557,482,0
710,200,10582203,560,480,0
