Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,52558421,940,917,0
1,200,52558453,941,899,0
2,200,52558453,943,883,0
4,200,52558468,944,862,0
3,200,52558468,944,871,0
5,200,52558484,944,856,0
6,200,52558500,945,852,0
7,200,52558500,945,849,0
8,200,52558515,945,847,0
10,200,52558531,945,845,0
9,200,52558531,945,846,0
12,200,52558546,945,844,0
11,200,52558546,945,844,0
13,200,52558562,945,843,0
14,200,52558593,945,842,0
15,200,52558843,928,814,0
16,200,52558859,900,770,0
17,200,52558875,875,723,0
18,200,52558890,854,681,0
19,200,52558906,832,638,0
20,200,52558906,818,606,0
21,200,52558921,808,587,0
22,200,52558921,800,574,0
23,200,52558937,795,565,0
24,200,52558953,790,558,0
25,200,52558968,786,553,0
26,200,52558968,784,551,0
27,200,52558984,781,548,0
28,200,52559000,779,547,0
29,200,52559000,778,545,0
31,200,52559015,777,544,0
30,200,52559015,777,545,0
32,200,52559031,776,544,0
33,200,52559046,775,544,0
35,200,52559062,774,544,0
34,200,52559062,775,544,0
36,200,52559093,773,544,0
