Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
900,200,10586046,627,362,0
901,200,10586062,601,366,0
903,200,10586078,550,377,0
902,200,10586078,577,371,0
904,200,10586093,523,385,0
905,200,10586093,495,395,0
906,200,10586109,465,407,0
908,200,10586125,407,436,0
907,200,10586125,436,420,0
909,200,10586140,383,450,0
911,200,10586156,340,485,0
910,200,10586156,358,468,0
912,200,10586171,328,497,0
914,200,10587093,332,541,0
913,200,10587093,329,518,0
915,200,10587109,335,567,0
917,200,10587125,338,620,0
916,200,10587125,337,592,0
918,200,10587140,341,648,0
919,200,10587156,345,676,0
920,200,10587156,348,705,0
921,200,10587171,352,731,0
923,200,10587187,358,754,0
922,200,10587187,356,744,0
925,200,10587437,365,777,0
924,200,10587437,361,766,0
926,200,10587453,367,785,0
927,200,10587468,370,794,0
928,200,10587468,371,801,0
929,200,10587484,373,807,0
931,200,10587500,374,814,0
930,200,10587500,374,811,0
932,200,10587515,374,817,0
934,200,10587531,375,820,0
933,200,10587531,374,818,0
935,200,10587546,375,820,0
937,200,10587562,375,821,0
936,200,10587562,375,821,0
938,200,10587593,376,822,0
939,200,10587625,376,822,0
940,200,10587640,379,817,0
941,200,10587656,391,800,0
942,200,10587656,401,786,0
943,200,10587671,410,772,0
945,200,10587687,425,751,0
944,200,10587687,418,761,0
947,200,10587703,436,736,0
946,200,10587703,431,743,0
948,200,10587718,440,733,0
949,200,10587734,442,731,0
950,200,10587734,444,728,0
951,200,10587750,445,728,0
953,200,10587765,447,726,0
952,200,10587765,446,727,0
954,200,10587796,447,726,0
955,200,10587812,448,726,0
956,200,10587828,449,727,0
957,200,10587828,451,732,0
958,200,10587843,453,739,0
960,200,10587859,456,752,0
959,200,10587859,455,745,0
961,200,10587875,458,760,0
963,200,10587890,462,785,0
962,200,10587890,460,770,0
964,200,10587906,466,803,0
965,200,10587921,469,824,0
966,200,10587921,474,847,0
968,200,10587937,484,898,0
967,200,10587937,478,874,0
969,200,10587953,488,919,0
971,200,10587968,492,939,0
970,200,10587968,491,931,0
973,200,10588234,492,962,0
972,200,10588234,492,951,0
974,200,10588250,491,971,0
976,200,10588265,489,988,0
975,200,10588265,490,981,0
977,200,10588281,488,993,0
978,200,10588296,487,998,0
979,200,10588296,486,1001,0
980,200,10588312,486,1003,0
982,200,10588328,486,1005,0
981,200,10588328,486,1004,0
983,200,10588343,485,1005,0
984,200,10588359,485,1006,0
985,200,10588359,485,1006,0
986,200,10588375,485,1007,0
988,200,10588390,485,1008,0
987,200,10588390,485,1007,0
989,200,10588406,485,1009,0
990,200,10588406,485,1011,0
991,200,10588421,484,1012,0
993,200,10588437,483,1017,0
992,200,10588437,483,1015,0
994,200,10588453,483,1019,0
996,200,10588468,481,1023,0
995,200,10588468,482,1022,0
997,200,10588484,481,1023,0
999,200,10588500,481,1025,0
998,200,10588500,481,1024,0
1000,200,10588515,481,1025,0
1001,200,10588531,481,1026,0
1002,200,10588578,480,1026,0
1003,200,10588687,480,1026,0
1004,200,10588843,480,1026,0
1005,200,10588890,480,1026,0
1006,200,10588921,480,1025,0
1007,200,10588968,480,1024,0
1008,200,10589000,480,1024,0
1009,200,10589046,480,1023,0
1011,200,10589078,479,1023,0
1010,200,10589078,480,1023,0
1012,200,10589093,479,1022,0
1013,200,10589109,479,1022,0
1014,200,10589140,478,1020,0
1015,200,10589140,478,1020,0
1016,200,10589156,478,1019,0
1018,200,10589171,478,1017,0
1017,200,10589171,478,1017,0
1019,200,10589187,478,1015,0
1021,200,10589203,478,1014,0
1020,200,10589203,478,1015,0
1022,200,10589218,477,1014,0
1023,200,10589234,477,1013,0
1024,200,10589234,477,1013,0
1025,200,10589265,477,1012,0
1026,200,10589312,477,1011,0
