Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1533,200,525330406,1000,606,0
1532,200,525330406,1009,603,0
1535,200,525330421,968,613,0
1534,200,525330421,985,608,0
1536,200,525330437,939,620,0
1538,200,525330453,854,646,0
1537,200,525330453,899,630,0
1539,200,525330468,802,667,0
1541,200,525330484,697,717,0
1540,200,525330484,750,691,0
1542,200,525330500,650,743,0
1543,200,525330515,607,768,0
1544,200,525330515,590,779,0
1545,200,525330531,578,787,0
1547,200,525330546,563,798,0
1546,200,525330546,569,794,0
1548,200,525330562,558,802,0
1549,200,525330578,556,803,0
1550,200,525330812,541,796,0
1551,200,525330828,527,791,0
1553,200,525330843,501,783,0
1552,200,525330843,513,787,0
1555,200,525330859,481,779,0
1554,200,525330859,491,782,0
1556,200,525330875,471,779,0
1557,200,525330890,462,779,0
1558,200,525330890,454,779,0
1559,200,525330906,445,779,0
1561,200,525330921,431,783,0
1560,200,525330921,438,782,0
1562,200,525330937,424,785,0
1564,200,525330953,414,790,0
1563,200,525330953,418,787,0
1565,200,525330968,410,790,0
1567,200,525330984,403,793,0
1566,200,525330984,406,793,0
1568,200,525331000,399,795,0
1570,200,525331015,391,800,0
1569,200,525331015,395,798,0
1571,200,525331031,387,802,0
1572,200,525331046,383,804,0
1573,200,525331046,381,805,0
1574,200,525331062,378,805,0
1576,200,525331078,377,806,0
1575,200,525331078,378,805,0
1578,200,525331093,375,806,0
1577,200,525331093,376,806,0
1579,200,525331109,375,807,0
1581,200,525331125,376,811,0
1580,200,525331125,375,808,0
1582,200,525331140,383,823,0
1584,200,525331156,400,848,0
1583,200,525331156,391,834,0
1585,200,525331171,408,864,0
1586,200,525331187,417,878,0
1587,200,525331187,429,906,0
1588,200,525331203,434,921,0
1590,200,525331218,444,955,0
1589,200,525331218,440,941,0
1591,200,525331234,450,968,0
1592,200,525331250,453,980,0
1593,200,525331250,457,991,0
1594,200,525331265,459,1000,0
1595,200,525331281,461,1005,0
1596,200,525331281,464,1011,0
1597,200,525331296,466,1015,0
1598,200,525331312,467,1017,0
1599,200,525331562,467,1024,0
1600,200,525331578,466,1033,0
1601,200,525331593,465,1042,0
1602,200,525331593,465,1048,0
1603,200,525331609,464,1052,0
1604,200,525331625,464,1055,0
1605,200,525331625,464,1058,0
1606,200,525331640,463,1059,0
1607,200,525331656,463,1060,0
1608,200,525331656,463,1061,0
1609,200,525331671,463,1061,0
1611,200,525331687,463,1062,0
1610,200,525331687,463,1061,0
1612,200,525331718,462,1062,0
1613,200,525331718,462,1063,0
1614,200,525331750,461,1063,0
