Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
126,200,10571359,68,373,0
127,200,10571359,73,382,0
129,200,10571375,80,400,0
128,200,10571375,77,390,0
130,200,10571390,84,408,0
132,200,10571406,92,430,0
131,200,10571406,88,418,0
133,200,10571421,96,441,0
134,200,10571437,100,457,0
135,200,10571437,103,469,0
136,200,10571453,107,483,0
138,200,10571468,113,504,0
137,200,10571468,110,493,0
139,200,10571484,115,514,0
141,200,10571500,120,527,0
140,200,10571500,118,521,0
142,200,10571515,121,530,0
143,200,10571734,121,547,0
144,200,10571750,120,561,0
146,200,10571765,116,590,0
145,200,10571765,117,578,0
147,200,10571781,115,607,0
149,200,10571796,114,629,0
148,200,10571796,114,619,0
150,200,10571812,114,640,0
151,200,10571812,114,648,0
152,200,10571828,114,655,0
154,200,10571843,114,662,0
153,200,10571843,114,659,0
155,200,10571859,114,664,0
157,200,10571875,114,666,0
156,200,10571875,114,665,0
158,200,10571890,114,666,0
159,200,10571906,114,667,0
160,200,10571921,114,667,0
162,200,10572046,117,667,0
161,200,10572046,114,667,0
163,200,10572062,139,660,0
165,200,10572078,192,641,0
164,200,10572078,164,651,0
166,200,10572093,225,629,0
168,200,10572109,297,602,0
167,200,10572109,261,616,0
169,200,10572125,333,589,0
171,200,10572140,401,566,0
170,200,10572140,368,579,0
172,200,10572156,424,559,0
173,200,10572171,438,554,0
174,200,10572171,450,551,0
175,200,10572187,458,548,0
176,200,10572203,463,546,0
177,200,10572421,487,546,0
179,200,10572437,554,550,0
178,200,10572437,521,548,0
180,200,10572453,586,550,0
181,200,10572468,620,547,0
182,200,10572468,651,544,0
183,200,10572484,677,539,0
185,200,10572500,708,531,0
184,200,10572500,696,535,0
187,200,10572515,725,521,0
186,200,10572515,718,527,0
188,200,10572531,730,518,0
189,200,10572546,733,514,0
190,200,10572546,735,512,0
191,200,10572562,735,509,0
193,200,10572578,723,494,0
192,200,10572578,734,504,0
194,200,10572593,702,486,0
196,200,10572609,641,474,0
195,200,10572609,676,479,0
197,200,10572625,603,474,0
199,200,10572640,523,480,0
198,200,10572640,565,475,0
200,200,10572656,483,491,0
202,200,10572671,420,521,0
201,200,10572671,449,506,0
203,200,10572687,395,541,0
204,200,10572703,378,559,0
205,200,10572703,367,575,0
206,200,10572718,361,590,0
208,200,10572734,357,617,0
207,200,10572734,358,604,0
209,200,10572750,357,629,0
211,200,10572765,371,653,0
210,200,10572765,361,641,0
212,200,10572781,381,661,0
213,200,10572781,392,666,0
214,200,10572796,407,668,0
216,200,10572812,438,664,0
215,200,10572812,420,668,0
217,200,10572828,461,652,0
219,200,10572843,501,620,0
218,200,10572843,481,637,0
220,200,10572859,516,600,0
222,200,10572875,534,566,0
221,200,10572875,527,584,0
223,200,10572890,538,552,0
225,200,10572906,540,526,0
224,200,10572906,540,538,0
226,200,10572921,538,513,0
227,200,10572937,533,501,0
228,200,10572937,527,493,0
229,200,10572953,520,484,0
231,200,10572968,493,473,0
230,200,10572968,509,478,0
233,200,10572984,454,472,0
232,200,10572984,473,472,0
234,200,10573000,437,472,0
235,200,10573015,418,476,0
236,200,10573015,406,480,0
237,200,10573031,396,484,0
239,200,10573046,382,489,0
238,200,10573046,388,487,0
240,200,10573062,376,491,0
241,200,10573078,373,493,0
242,200,10573078,370,493,0
243,200,10573093,368,494,0
245,200,10573109,363,496,0
244,200,10573109,365,495,0
246,200,10573125,361,496,0
248,200,10573140,358,496,0
247,200,10573140,360,496,0
249,200,10573156,356,496,0
250,200,10573171,353,496,0
251,200,10573171,350,497,0
252,200,10573187,345,498,0
254,200,10573203,332,502,0
253,200,10573203,339,500,0
256,200,10573218,320,507,0
255,200,10573218,326,505,0
257,200,10573234,316,509,0
258,200,10573250,311,510,0
259,200,10573250,307,512,0
260,200,10573265,303,513,0
262,200,10573281,299,514,0
261,200,10573281,301,514,0
263,200,10573296,297,514,0
265,200,10573312,293,515,0
264,200,10573312,295,515,0
266,200,10573328,292,515,0
268,200,10573343,290,515,0
267,200,10573343,291,515,0
269,200,10573359,288,515,0
271,200,10573375,286,515,0
270,200,10573375,287,515,0
272,200,10573390,284,515,0
273,200,10573406,283,515,0
274,200,10573406,281,515,0
275,200,10573421,280,515,0
277,200,10573437,276,515,0
276,200,10573437,278,515,0
278,200,10573453,274,516,0
280,200,10573468,271,517,0
279,200,10573468,272,516,0
281,200,10573484,268,517,0
282,200,10573484,266,519,0
283,200,10573500,264,520,0
285,200,10573515,257,526,0
284,200,10573515,261,523,0
286,200,10573531,249,535,0
288,200,10573546,236,559,0
287,200,10573546,243,546,0
289,200,10573562,229,572,0
291,200,10573578,217,600,0
290,200,10573578,221,587,0
292,200,10573593,212,613,0
294,200,10573609,206,633,0
293,200,10573609,209,623,0
295,200,10573625,205,640,0
296,200,10573640,203,645,0
297,200,10573640,203,651,0
298,200,10573656,203,654,0
300,200,10573671,203,658,0
299,200,10573671,203,656,0
301,200,10573687,203,659,0
302,200,10573953,203,660,0
303,200,10573968,202,662,0
304,200,10573968,201,663,0
306,200,10573984,200,666,0
305,200,10573984,201,665,0
307,200,10574000,200,667,0
309,200,10574015,200,668,0
308,200,10574015,200,667,0
310,200,10574031,200,668,0
311,200,10574046,199,668,0
312,200,10574046,199,669,0
313,200,10574078,199,670,0
314,200,10574093,199,670,0
315,200,10574140,199,671,0
316,200,10574187,199,671,0
317,200,10574234,199,672,0
