Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,525285328,968,431,0
1,200,525285328,968,441,0
2,200,525285343,971,455,0
3,200,525285343,979,467,0
4,200,525285359,992,477,0
5,200,525285375,1004,485,0
6,200,525285375,1021,491,0
7,200,525285390,1038,492,0
8,200,525285406,1056,492,0
9,200,525285406,1074,488,0
10,200,525285421,1107,469,0
12,200,525285437,1168,414,0
11,200,525285437,1138,444,0
13,200,525285453,1197,376,0
14,200,525285468,1221,336,0
15,200,525285468,1241,297,0
16,200,525285484,1249,278,0
17,200,525285500,1253,263,0
18,200,525285500,1253,251,0
19,200,525285515,1251,241,0
20,200,525285531,1242,232,0
21,200,525285531,1225,226,0
22,200,525285546,1190,226,0
23,200,525285546,1148,229,0
24,200,525285562,1100,248,0
26,200,525285578,1000,302,0
25,200,525285578,1051,271,0
27,200,525285593,956,338,0
29,200,525285609,895,400,0
28,200,525285609,920,371,0
30,200,525285625,886,414,0
31,200,525285640,877,426,0
32,200,525285640,873,438,0
33,200,525285656,872,448,0
34,200,525285671,874,460,0
35,200,525285671,882,471,0
36,200,525285687,896,483,0
38,200,525285703,957,497,0
37,200,525285703,918,491,0
39,200,525285718,996,501,0
40,200,525285718,1041,498,0
41,200,525285734,1082,485,0
42,200,525285750,1121,468,0
43,200,525285750,1156,442,0
44,200,525285765,1188,412,0
45,200,525285781,1214,377,0
46,200,525285781,1235,340,0
47,200,525285796,1247,309,0
49,200,525285812,1250,277,0
48,200,525285812,1250,294,0
50,200,525285828,1244,263,0
51,200,525285843,1230,254,0
52,200,525285843,1200,243,0
53,200,525285859,1155,241,0
55,200,525285875,1042,266,0
54,200,525285875,1100,247,0
56,200,525285890,989,293,0
58,200,525285906,900,353,0
57,200,525285906,939,321,0
59,200,525285921,871,380,0
60,200,525285937,860,392,0
61,200,525285937,853,404,0
62,200,525285953,848,417,0
63,200,525285968,847,427,0
64,200,525285968,847,439,0
65,200,525285984,857,450,0
66,200,525285984,871,459,0
67,200,525286000,899,472,0
69,200,525286015,974,484,0
68,200,525286015,935,480,0
70,200,525286031,1015,483,0
72,200,525286046,1089,453,0
71,200,525286046,1053,472,0
73,200,525286062,1123,427,0
74,200,525286078,1156,395,0
75,200,525286078,1188,356,0
76,200,525286093,1215,312,0
78,200,525286109,1251,232,0
77,200,525286109,1238,270,0
79,200,525286125,1255,216,0
81,200,525286140,1252,196,0
80,200,525286140,1255,205,0
82,200,525286156,1238,187,0
83,200,525286171,1220,187,0
84,200,525286171,1184,190,0
85,200,525286187,1136,206,0
86,200,525286203,1083,232,0
87,200,525286203,1033,266,0
88,200,525286218,981,305,0
89,200,525286218,942,345,0
90,200,525286234,904,390,0
92,200,525286250,868,447,0
91,200,525286250,880,427,0
93,200,525286265,864,464,0
94,200,525286281,861,479,0
95,200,525286281,861,492,0
96,200,525286296,865,505,0
97,200,525286312,876,516,0
98,200,525286312,895,525,0
99,200,525286328,931,533,0
100,200,525286343,976,535,0
101,200,525286343,1021,532,0
102,200,525286359,1069,516,0
104,200,525286375,1157,458,0
103,200,525286375,1116,490,0
105,200,525286390,1197,415,0
106,200,525286406,1236,367,0
107,200,525286406,1267,317,0
108,200,525286421,1288,268,0
109,200,525286421,1301,227,0
110,200,525286437,1304,208,0
112,200,525286453,1297,179,0
111,200,525286453,1304,193,0
113,200,525286468,1283,169,0
115,200,525286484,1210,164,0
114,200,525286484,1254,164,0
116,200,525286500,1163,174,0
118,200,525286515,1058,224,0
117,200,525286515,1111,195,0
119,200,525286531,1010,260,0
120,200,525286546,967,301,0
121,200,525286546,932,342,0
122,200,525286562,906,377,0
123,200,525286578,897,396,0
124,200,525286578,890,412,0
125,200,525286593,887,423,0
127,200,525286609,887,445,0
126,200,525286609,887,435,0
128,200,525286625,890,453,0
129,200,525286640,895,459,0
130,200,525286640,902,464,0
131,200,525286656,914,465,0
132,200,525286656,927,465,0
133,200,525286671,941,459,0
134,200,525286687,958,447,0
135,200,525286687,985,418,0
136,200,525286703,1011,383,0
138,200,525286718,1048,305,0
137,200,525286718,1033,343,0
139,200,525286734,1058,271,0
140,200,525286750,1060,233,0
141,200,525286750,1060,218,0
142,200,525286765,1059,203,0
144,200,525286781,1050,180,0
143,200,525286781,1055,191,0
145,200,525286796,1043,173,0
147,200,525286812,1028,158,0
146,200,525286812,1037,165,0
148,200,525286828,1020,153,0
149,200,525286843,1011,150,0
150,200,525286843,1003,146,0
151,200,525286859,995,143,0
152,200,525286875,988,141,0
153,200,525286875,984,140,0
154,200,525286890,980,138,0
155,200,525286890,976,137,0
156,200,525286906,974,136,0
158,200,525286921,969,133,0
157,200,525286921,971,135,0
159,200,525286937,966,132,0
161,200,525286953,963,130,0
160,200,525286953,965,132,0
162,200,525286968,961,129,0
163,200,525286984,959,128,0
164,200,525286984,957,127,0
165,200,525287000,955,126,0
167,200,525287015,951,125,0
166,200,525287015,952,126,0
168,200,525287031,948,125,0
170,200,525287046,943,125,0
169,200,525287046,945,125,0
171,200,525287062,940,125,0
172,200,525287078,935,125,0
173,200,525287078,931,127,0
174,200,525287093,927,127,0
175,200,525287093,923,128,0
176,200,525287109,919,131,0
177,200,525287125,916,131,0
178,200,525287125,913,132,0
179,200,525287140,912,133,0
181,200,525287156,908,134,0
180,200,525287156,910,134,0
182,200,525287171,907,135,0
183,200,525287187,905,136,0
184,200,525287187,903,137,0
185,200,525287203,903,137,0
186,200,525287218,901,138,0
187,200,525287218,899,139,0
188,200,525287234,899,140,0
189,200,525287250,897,140,0
190,200,525287250,896,141,0
191,200,525287265,896,142,0
193,200,525287281,894,144,0
192,200,525287281,895,143,0
194,200,525287296,893,145,0
195,200,525287296,893,146,0
196,200,525287312,892,147,0
