Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1322,200,525322296,724,1013,0
1323,200,525322312,743,922,0
1324,200,525322328,777,771,0
1325,200,525322328,809,624,0
1327,200,525322390,852,377,0
1326,200,525322390,851,387,0
1328,200,525322406,852,368,0
1329,200,525322656,852,336,0
1330,200,525322671,854,304,0
1332,200,525322687,854,267,0
1331,200,525322687,854,283,0
1333,200,525322703,855,250,0
1334,200,525322703,855,234,0
1335,200,525322718,857,222,0
1336,200,525322734,858,210,0
1337,200,525322734,858,202,0
1338,200,525322750,859,195,0
1339,200,525322765,859,191,0
1340,200,525322765,860,187,0
1341,200,525322781,860,184,0
1343,200,525322796,861,182,0
1342,200,525322796,860,183,0
1344,200,525322812,861,181,0
1346,200,525322828,861,180,0
1345,200,525322828,861,181,0
1347,200,525322890,861,180,0
1348,200,525322921,860,180,0
1349,200,525322968,860,180,0
1350,200,525322968,860,180,0
1351,200,525323015,859,181,0
1352,200,525323031,859,185,0
1353,200,525323031,857,212,0
1354,200,525323046,855,253,0
1356,200,525323062,853,349,0
1355,200,525323062,855,301,0
1357,200,525323078,853,393,0
1359,200,525323093,851,451,0
1358,200,525323093,851,434,0
1360,200,525323109,851,467,0
1362,200,525323125,851,491,0
1361,200,525323125,851,481,0
1363,200,525323140,851,498,0
1364,200,525323156,853,502,0
1365,200,525323406,835,538,0
1366,200,525323421,812,584,0
1368,200,525323437,774,693,0
1367,200,525323437,794,635,0
1369,200,525323453,762,753,0
1371,200,525323468,742,856,0
1370,200,525323468,751,810,0
1372,200,525323484,740,875,0
1374,200,525323500,738,901,0
1373,200,525323500,739,891,0
1375,200,525323515,738,908,0
1376,200,525323531,738,912,0
1377,200,525323531,738,915,0
1379,200,525323796,731,944,0
1378,200,525323796,734,929,0
1380,200,525323812,729,958,0
1381,200,525323828,727,975,0
1382,200,525323828,726,988,0
1384,200,525323843,725,1007,0
1383,200,525323843,725,998,0
1385,200,525323859,723,1014,0
1387,200,525323875,723,1021,0
1386,200,525323875,723,1019,0
1388,200,525323890,723,1023,0
1389,200,525323906,723,1025,0
1390,200,525323906,723,1025,0
1391,200,525323921,723,1026,0
1392,200,525323937,723,1027,0
1393,200,525323937,723,1027,0
1394,200,525323953,723,1028,0
1396,200,525323968,723,1030,0
1395,200,525323968,723,1029,0
1397,200,525323984,723,1031,0
1399,200,525324000,723,1033,0
1398,200,525324000,723,1033,0
1400,200,525324015,723,1035,0
1401,200,525324031,723,1036,0
1402,200,525324046,723,1036,0
1403,200,525324062,723,1037,0
1404,200,525324078,723,1038,0
1405,200,525324093,723,1039,0
1406,200,525324109,723,1039,0
1407,200,525324125,723,1040,0
1408,200,525324140,723,1041,0
1409,200,525324156,723,1041,0
1411,200,525324171,723,1044,0
1410,200,525324171,723,1042,0
1412,200,525324187,723,1045,0
1413,200,525324203,723,1049,0
