Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,10568750,1249,762,0
1,200,10568765,1228,767,0
3,200,10568781,1176,773,0
2,200,10568781,1204,772,0
4,200,10568796,1144,773,0
6,200,10568812,1057,752,0
5,200,10568812,1103,765,0
7,200,10568828,1006,734,0
9,200,10568843,890,684,0
8,200,10568843,950,709,0
10,200,10568859,829,655,0
12,200,10568875,710,603,0
11,200,10568875,768,628,0
13,200,10568890,653,580,0
14,200,10568890,606,563,0
15,200,10568906,563,549,0
16,200,10568921,532,539,0
17,200,10568921,514,535,0
18,200,10568937,503,533,0
19,200,10569234,470,530,0
20,200,10569250,431,523,0
22,200,10569265,351,497,0
21,200,10569265,390,510,0
23,200,10569281,318,483,0
24,200,10569296,287,469,0
26,200,10569312,245,448,0
25,200,10569312,263,457,0
28,200,10569328,222,438,0
27,200,10569328,233,443,0
29,200,10569343,215,434,0
30,200,10569359,209,431,0
31,200,10569640,196,418,0
33,200,10569656,177,392,0
32,200,10569656,185,405,0
34,200,10569671,171,383,0
36,200,10569687,164,371,0
35,200,10569687,166,376,0
37,200,10569703,162,368,0
39,200,10569718,160,365,0
38,200,10569718,161,366,0
40,200,10569734,160,364,0
42,200,10570031,151,370,0
41,200,10570031,156,366,0
43,200,10570046,146,374,0
45,200,10570062,138,382,0
44,200,10570062,143,378,0
46,200,10570078,135,384,0
48,200,10570093,129,387,0
47,200,10570093,132,386,0
49,200,10570109,127,389,0
50,200,10570125,125,389,0
51,200,10570125,122,390,0
52,200,10570140,120,391,0
54,200,10570156,115,392,0
53,200,10570156,118,392,0
55,200,10570171,113,393,0
56,200,10570187,111,394,0
57,200,10570187,109,395,0
58,200,10570203,108,395,0
60,200,10570218,104,396,0
59,200,10570218,106,395,0
62,200,10570234,102,397,0
61,200,10570234,103,396,0
63,200,10570250,101,397,0
65,200,10570265,99,397,0
64,200,10570265,100,397,0
66,200,10570281,98,398,0
68,200,10570296,96,398,0
67,200,10570296,97,398,0
69,200,10570312,94,398,0
70,200,10570328,93,399,0
71,200,10570328,91,399,0
72,200,10570343,89,399,0
74,200,10570359,87,399,0
73,200,10570359,88,399,0
75,200,10570375,86,399,0
77,200,10570390,84,399,0
76,200,10570390,84,399,0
78,200,10570406,83,399,0
80,200,10570421,81,399,0
79,200,10570421,82,399,0
81,200,10570437,81,399,0
82,200,10570453,80,398,0
84,200,10570468,80,397,0
83,200,10570468,80,398,0
86,200,10570484,79,396,0
85,200,10570484,79,397,0
87,200,10570500,79,395,0
88,200,10570515,79,394,0
89,200,10570531,79,394,0
90,200,10570531,78,393,0
91,200,10570546,78,393,0
93,200,10570562,77,392,0
92,200,10570562,77,393,0
94,200,10570578,77,392,0
96,200,10570593,76,390,0
95,200,10570593,77,391,0
97,200,10570609,76,389,0
99,200,10570625,76,388,0
98,200,10570625,76,389,0
100,200,10570640,75,387,0
102,200,10570656,74,385,0
101,200,10570656,75,386,0
103,200,10570671,73,384,0
104,200,10570687,73,383,0
105,200,10570687,72,382,0
106,200,10570703,71,380,0
108,200,10570718,71,379,0
107,200,10570718,71,379,0
110,200,10570734,69,376,0
109,200,10570734,70,377,0
111,200,10570750,69,375,0
112,200,10570765,69,374,0
113,200,10570765,69,373,0
114,200,10570781,68,372,0
116,200,10570796,68,371,0
115,200,10570796,68,372,0
117,200,10570812,67,371,0
118,200,10570828,67,370,0
119,200,10570843,67,369,0
120,200,10570859,67,369,0
121,200,10570875,67,369,0
122,200,10570921,66,368,0
123,200,10570968,66,368,0
