Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
3044,200,13043140,569,405,0
3043,200,13043140,567,405,0
3045,200,13043156,575,405,0
3046,200,13043171,581,405,0
3047,200,13043171,591,409,0
3049,200,13043187,623,421,0
3048,200,13043187,605,415,0
3051,200,13043203,668,441,0
3050,200,13043203,645,430,0
3052,200,13043218,695,456,0
3053,200,13043218,721,471,0
3055,200,13043234,780,503,0
3054,200,13043234,750,486,0
3057,200,13043250,823,529,0
3056,200,13043250,804,518,0
3058,200,13043265,834,534,0
3059,200,13043281,841,537,0
3060,200,13043281,844,539,0
3061,200,13043281,845,539,0
3063,200,13043296,846,540,0
3062,200,13043296,846,540,0
3064,200,13043312,847,541,0
3066,200,13043328,847,543,0
3065,200,13043328,847,542,0
3067,200,13043343,847,544,0
3068,200,13043343,847,546,0
3070,200,13043359,844,554,0
3069,200,13043359,846,549,0
3072,200,13043375,842,568,0
3071,200,13043375,843,561,0
3074,200,13043390,842,585,0
3073,200,13043390,842,576,0
3075,200,13043406,842,593,0
3076,200,13043406,842,602,0
3078,200,13043421,844,616,0
3077,200,13043421,842,609,0
3080,200,13043437,855,628,0
3079,200,13043437,848,622,0
3081,200,13043453,863,634,0
3082,200,13043468,874,639,0
3083,200,13043468,887,645,0
3085,200,13043484,930,662,0
3084,200,13043484,905,653,0
3087,200,13043500,985,678,0
3086,200,13043500,957,670,0
3088,200,13043515,1011,685,0
3089,200,13043515,1041,693,0
3091,200,13043531,1092,704,0
3090,200,13043531,1065,697,0
3093,200,13043546,1133,711,0
3092,200,13043546,1113,708,0
3095,200,13043562,1152,711,0
3094,200,13043562,1145,711,0
3096,200,13043578,1156,711,0
3097,200,13043578,1158,711,0
3098,200,13043593,1158,711,0
3099,200,13043828,1158,711,0
3100,200,13043859,1158,711,0
3101,200,13043906,1158,711,0
3102,200,13043921,1160,711,0
3103,200,13043921,1166,713,0
3105,200,13043937,1186,718,0
3104,200,13043937,1174,716,0
3107,200,13043953,1223,721,0
3106,200,13043953,1203,719,0
3109,200,13043968,1276,724,0
3108,200,13043968,1248,722,0
3110,200,13043984,1306,725,0
3111,200,13043984,1341,725,0
3113,200,13044000,1413,727,0
3112,200,13044000,1375,727,0
3115,200,13044015,1481,727,0
3114,200,13044015,1448,727,0
3116,200,13044031,1510,727,0
3117,200,13044031,1538,727,0
3119,200,13044046,1570,728,0
3118,200,13044046,1557,727,0
3121,200,13044062,1588,730,0
3120,200,13044062,1581,729,0
3123,200,13044078,1595,733,0
3122,200,13044078,1592,732,0
3124,200,13044093,1595,733,0
3125,200,13044093,1596,733,0
3126,200,13044125,1596,734,0
3127,200,13044156,1596,734,0
3129,200,13044265,1595,734,0
3128,200,13044265,1596,734,0
3130,200,13044281,1593,734,0
3131,200,13044281,1590,734,0
3133,200,13044296,1584,735,0
3132,200,13044296,1587,735,0
3135,200,13044312,1576,736,0
3134,200,13044312,1580,736,0
3137,200,13044328,1566,737,0
3136,200,13044328,1570,736,0
3138,200,13044343,1560,737,0
3139,200,13044343,1555,737,0
3141,200,13044359,1545,737,0
3140,200,13044359,1549,737,0
3143,200,13044375,1536,737,0
3142,200,13044375,1540,737,0
3144,200,13044390,1532,737,0
3145,200,13044390,1528,737,0
3147,200,13044406,1520,738,0
3146,200,13044406,1524,738,0
3148,200,13044421,1517,738,0
3150,200,13044437,1512,738,0
3149,200,13044437,1515,738,0
3151,200,13044453,1510,738,0
3152,200,13044453,1509,738,0
3154,200,13044468,1507,739,0
3153,200,13044468,1507,738,0
3156,200,13044484,1506,739,0
3155,200,13044484,1506,739,0
3158,200,13044500,1505,739,0
3157,200,13044500,1505,739,0
3159,200,13044515,1504,739,0
3160,200,13044515,1503,739,0
3161,200,13044531,1503,739,0
3163,200,13044546,1502,739,0
3162,200,13044546,1502,739,0
3165,200,13044562,1501,739,0
3164,200,13044562,1501,739,0
3166,200,13044578,1500,739,0
3167,200,13044578,1499,739,0
3169,200,13044593,1498,739,0
3168,200,13044593,1499,739,0
3171,200,13044609,1496,739,0
3170,200,13044609,1497,739,0
3173,200,13044625,1493,740,0
3172,200,13044625,1495,740,0
3174,200,13044640,1492,740,0
3175,200,13044640,1491,740,0
3176,200,13044656,1491,740,0
3177,200,13044734,1490,740,0
3178,200,13044750,1490,740,0
3180,200,13044765,1488,740,0
3179,200,13044765,1489,740,0
3181,200,13044781,1487,740,0
3183,200,13044796,1483,740,0
3184,200,13044796,1480,741,0
3182,200,13044796,1485,740,0
3186,200,13044812,1476,741,0
3185,200,13044812,1478,741,0
3187,200,13044828,1475,741,0
3188,200,13044828,1472,741,0
3190,200,13044843,1470,741,0
3189,200,13044843,1471,741,0
3191,200,13044859,1469,741,0
3192,200,13044875,1469,741,0
