Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
306,200,525292390,1162,595,0
307,200,525292406,1173,584,0
309,200,525292421,1198,562,0
308,200,525292421,1185,573,0
310,200,525292437,1209,552,0
312,200,525292453,1231,533,0
311,200,525292453,1220,542,0
313,200,525292468,1240,523,0
314,200,525292484,1247,514,0
315,200,525292484,1253,507,0
316,200,525292500,1259,497,0
318,200,525292515,1267,484,0
317,200,525292515,1263,490,0
320,200,525292531,1270,475,0
319,200,525292531,1269,479,0
321,200,525292546,1271,471,0
323,200,525292562,1271,465,0
322,200,525292562,1271,468,0
324,200,525292578,1270,464,0
326,200,525292593,1256,458,0
325,200,525292593,1266,461,0
327,200,525292609,1242,458,0
329,200,525292625,1214,461,0
328,200,525292625,1229,458,0
330,200,525292640,1200,465,0
332,200,525292656,1177,476,0
331,200,525292656,1188,469,0
333,200,525292671,1167,483,0
335,200,525292687,1153,494,0
334,200,525292687,1159,488,0
336,200,525292703,1148,500,0
338,200,525292718,1140,513,0
337,200,525292718,1143,507,0
339,200,525292734,1137,519,0
341,200,525292750,1136,529,0
340,200,525292750,1136,524,0
342,200,525292765,1136,536,0
343,200,525292765,1137,542,0
344,200,525292781,1140,548,0
346,200,525292796,1146,555,0
345,200,525292796,1143,550,0
347,200,525292812,1150,557,0
348,200,525292828,1157,561,0
349,200,525292828,1166,562,0
350,200,525292843,1175,563,0
352,200,525292859,1196,564,0
351,200,525292859,1185,564,0
353,200,525292875,1208,564,0
355,200,525292890,1229,560,0
354,200,525292890,1218,563,0
356,200,525292906,1239,556,0
358,200,525292921,1257,546,0
357,200,525292921,1248,551,0
359,200,525292937,1267,538,0
361,200,525292953,1281,518,0
360,200,525292953,1275,529,0
362,200,525292968,1288,507,0
364,200,525292984,1295,488,0
363,200,525292984,1292,497,0
365,200,525293000,1296,479,0
367,200,525293015,1296,465,0
366,200,525293015,1296,471,0
369,200,525293031,1280,453,0
368,200,525293031,1289,458,0
370,200,525293046,1268,448,0
371,200,525293062,1257,448,0
372,200,525293062,1242,448,0
373,200,525293078,1228,450,0
375,200,525293093,1202,463,0
374,200,525293093,1214,456,0
376,200,525293109,1191,469,0
377,200,525293125,1182,477,0
378,200,525293125,1173,484,0
379,200,525293140,1168,491,0
381,200,525293156,1160,502,0
380,200,525293156,1163,497,0
382,200,525293171,1157,507,0
384,200,525293187,1156,514,0
383,200,525293187,1156,511,0
385,200,525293203,1156,517,0
386,200,525293218,1156,518,0
387,200,525293218,1156,520,0
388,200,525293953,1179,497,0
390,200,525293968,1247,435,0
389,200,525293968,1214,466,0
391,200,525293984,1276,406,0
392,200,525294000,1291,392,0
393,200,525294000,1317,368,0
394,200,525294015,1328,357,0
396,200,525294031,1351,338,0
395,200,525294031,1340,348,0
397,200,525294046,1364,330,0
399,200,525294093,1385,316,0
398,200,525294093,1375,323,0
401,200,525294328,1424,289,0
400,200,525294328,1412,297,0
402,200,525294343,1437,279,0
403,200,525294359,1449,272,0
405,200,525294375,1469,259,0
406,200,525294375,1480,254,0
404,200,525294375,1458,266,0
407,200,525294390,1487,250,0
409,200,525294406,1503,244,0
408,200,525294406,1496,246,0
410,200,525294421,1511,240,0
411,200,525294437,1516,238,0
412,200,525294437,1520,236,0
413,200,525294453,1523,235,0
415,200,525294468,1529,232,0
414,200,525294468,1526,233,0
416,200,525294484,1530,231,0
417,200,525294500,1531,231,0
418,200,525294500,1532,230,0
419,200,525294515,1532,230,0
420,200,525294531,1533,230,0
421,200,525294562,1534,230,0
422,200,525294609,1531,232,0
424,200,525294625,1462,297,0
423,200,525294625,1501,262,0
426,200,525294640,1382,363,0
425,200,525294640,1424,331,0
427,200,525294656,1337,399,0
429,200,525294671,1252,458,0
428,200,525294671,1296,428,0
430,200,525294687,1217,484,0
431,200,525294703,1187,505,0
432,200,525294703,1173,514,0
433,200,525294718,1164,521,0
435,200,525294734,1150,530,0
434,200,525294734,1156,526,0
436,200,525294750,1144,533,0
437,200,525294765,1142,535,0
439,200,525295078,1138,532,0
438,200,525295078,1140,535,0
440,200,525295093,1135,530,0
441,200,525295109,1134,529,0
442,200,525295109,1133,527,0
443,200,525295125,1132,525,0
445,200,525295140,1129,521,0
444,200,525295140,1130,522,0
446,200,525295156,1128,520,0
447,200,525295171,1128,518,0
448,200,525295171,1127,517,0
449,200,525295187,1127,516,0
451,200,525295203,1127,514,0
450,200,525295203,1127,515,0
452,200,525295218,1127,513,0
453,200,525295234,1127,512,0
454,200,525295234,1127,511,0
455,200,525295265,1127,510,0
456,200,525295265,1127,509,0
457,200,525295281,1127,509,0
458,200,525295312,1127,508,0
