Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
3740,200,13061671,399,640,0
3739,200,13061671,436,634,0
3741,200,13061687,362,649,0
3742,200,13061703,322,656,0
3743,200,13061703,282,665,0
3744,200,13061718,242,674,0
3745,200,13061734,207,683,0
3746,200,13061734,175,690,0
3747,200,13061750,148,698,0
3748,200,13061765,129,702,0
3749,200,13061765,113,705,0
3750,200,13061781,103,709,0
3751,200,13061796,96,709,0
3752,200,13061796,91,711,0
3753,200,13061812,88,712,0
3754,200,13061828,85,712,0
3755,200,13061828,84,713,0
3756,200,13061843,84,713,0
3757,200,13062078,84,725,0
3758,200,13062093,87,744,0
3759,200,13062093,93,761,0
3761,200,13062109,116,798,0
3760,200,13062109,103,779,0
3762,200,13062125,131,816,0
3763,200,13062140,143,830,0
3764,200,13062140,154,843,0
3765,200,13062156,163,851,0
3767,200,13062171,175,865,0
3766,200,13062171,169,859,0
3768,200,13062187,180,869,0
3769,200,13062203,182,871,0
3770,200,13062406,203,873,0
3771,200,13062421,229,877,0
3773,200,13062437,293,891,0
3772,200,13062437,258,884,0
3774,200,13062453,325,899,0
3775,200,13062468,359,911,0
3776,200,13062468,386,921,0
3777,200,13062484,412,931,0
3779,200,13062500,438,940,0
3778,200,13062500,426,935,0
3780,200,13062515,448,943,0
3782,200,13062531,458,946,0
3781,200,13062531,453,945,0
3783,200,13062546,461,947,0
3784,200,13062796,461,952,0
3785,200,13062796,461,957,0
3786,200,13062812,461,963,0
3787,200,13062812,461,968,0
3788,200,13062828,461,971,0
3790,200,13062843,462,977,0
3789,200,13062843,462,974,0
3791,200,13062859,463,980,0
3792,200,13062875,464,982,0
3793,200,13062875,464,984,0
3794,200,13062890,465,986,0
3796,200,13062906,465,990,0
3795,200,13062906,465,988,0
3797,200,13062921,466,993,0
3799,200,13062937,466,995,0
3798,200,13062937,466,994,0
3800,200,13062953,467,996,0
3802,200,13062968,467,997,0
3801,200,13062968,467,996,0
3803,200,13062984,467,998,0
3804,200,13063000,467,998,0
3806,200,13063015,467,999,0
3805,200,13063015,467,999,0
3807,200,13063046,467,1000,0
3808,200,13063078,467,1000,0
3809,200,13063109,467,1001,0
