Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
444,200,12999812,546,436,0
443,200,12999812,545,437,0
446,200,12999828,549,434,0
445,200,12999828,547,435,0
448,200,12999843,552,430,0
447,200,12999843,549,432,0
450,200,12999859,557,425,0
449,200,12999859,554,429,0
452,200,12999875,570,419,0
451,200,12999875,563,422,0
454,200,12999890,588,416,0
453,200,12999890,578,417,0
456,200,12999906,612,414,0
455,200,12999906,599,415,0
458,200,12999921,649,405,0
457,200,12999921,627,410,0
460,200,12999937,707,386,0
459,200,12999937,676,397,0
462,200,12999953,783,361,0
461,200,12999953,742,374,0
464,200,12999968,873,330,0
463,200,12999968,827,346,0
466,200,12999984,965,291,0
465,200,12999984,920,311,0
467,200,13000000,1009,272,0
468,200,13000015,1054,251,0
469,200,13000015,1094,228,0
470,200,13000015,1131,207,0
471,200,13000031,1166,185,0
473,200,13000046,1211,152,0
472,200,13000046,1191,167,0
475,200,13000062,1231,133,0
474,200,13000062,1223,141,0
477,200,13000078,1237,123,0
476,200,13000078,1235,127,0
479,200,13000093,1239,117,0
478,200,13000093,1238,119,0
481,200,13000109,1239,115,0
480,200,13000109,1239,116,0
483,200,13000125,1234,113,0
482,200,13000125,1237,114,0
485,200,13000140,1228,113,0
484,200,13000140,1231,113,0
487,200,13000156,1221,113,0
486,200,13000156,1224,113,0
488,200,13000171,1218,114,0
489,200,13000171,1215,115,0
491,200,13000187,1212,119,0
490,200,13000187,1214,118,0
492,200,13000203,1212,120,0
493,200,13000203,1212,121,0
494,200,13000218,1212,121,0
496,200,13000234,1212,123,0
495,200,13000234,1212,122,0
497,200,13000250,1212,125,0
498,200,13000250,1212,128,0
499,200,13000265,1212,133,0
500,200,13000265,1212,139,0
502,200,13000281,1212,153,0
501,200,13000281,1212,145,0
503,200,13000296,1212,160,0
504,200,13000296,1212,168,0
506,200,13000312,1215,189,0
505,200,13000312,1213,178,0
508,200,13000328,1221,214,0
507,200,13000328,1217,201,0
509,200,13000343,1224,230,0
510,200,13000359,1228,246,0
511,200,13000359,1229,259,0
512,200,13000375,1230,268,0
513,200,13000375,1230,275,0
515,200,13000390,1230,284,0
514,200,13000390,1230,279,0
516,200,13000406,1229,286,0
517,200,13000406,1228,289,0
519,200,13000421,1226,293,0
518,200,13000421,1227,291,0
520,200,13000437,1226,295,0
521,200,13000437,1225,296,0
523,200,13000453,1223,299,0
522,200,13000453,1224,297,0
524,200,13000468,1222,300,0
525,200,13000468,1221,302,0
526,200,13000484,1219,304,0
528,200,13000484,1218,305,0
