Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
643,200,13001500,1087,398,0
645,200,13001500,1089,398,0
646,200,13001515,1092,398,0
647,200,13001515,1095,397,0
649,200,13001531,1097,397,0
648,200,13001531,1097,397,0
650,200,13001546,1099,397,0
651,200,13001562,1099,396,0
652,200,13001578,1099,396,0
654,200,13001593,1100,395,0
653,200,13001593,1099,395,0
655,200,13001609,1100,394,0
657,200,13001625,1100,393,0
656,200,13001625,1100,393,0
659,200,13001640,1100,391,0
658,200,13001640,1100,392,0
661,200,13001656,1100,390,0
660,200,13001656,1100,390,0
