Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1559,200,13016406,146,716,0
1558,200,13016406,146,716,0
1560,200,13016421,146,715,0
1562,200,13016437,148,714,0
1561,200,13016437,147,715,0
1564,200,13016453,153,711,0
1563,200,13016453,151,713,0
1565,200,13016468,157,710,0
1566,200,13016468,163,707,0
1568,200,13016484,178,702,0
1567,200,13016484,170,705,0
1570,200,13016500,199,694,0
1569,200,13016500,188,698,0
1572,200,13016515,221,686,0
1571,200,13016515,210,691,0
1573,200,13016531,232,682,0
1574,200,13016531,242,678,0
1576,200,13016546,265,668,0
1575,200,13016546,253,673,0
1578,200,13016562,292,655,0
1577,200,13016562,277,662,0
1580,200,13016578,326,637,0
1579,200,13016578,308,645,0
1581,200,13016593,344,627,0
1582,200,13016593,363,616,0
1583,200,13016609,383,605,0
1585,200,13016625,423,582,0
1584,200,13016625,402,594,0
1587,200,13016640,460,564,0
1586,200,13016640,442,572,0
1589,200,13016656,494,550,0
1588,200,13016656,480,555,0
1590,200,13016671,512,542,0
1591,200,13016671,524,538,0
1593,200,13016687,549,526,0
1592,200,13016687,536,532,0
1595,200,13016703,571,515,0
1594,200,13016703,560,521,0
1597,200,13016718,592,505,0
1596,200,13016718,581,510,0
1598,200,13016734,602,500,0
1599,200,13016734,611,496,0
1601,200,13016750,630,487,0
1600,200,13016750,621,491,0
1603,200,13016765,646,481,0
1602,200,13016765,638,484,0
1605,200,13016781,657,476,0
1604,200,13016781,652,478,0
1606,200,13016796,660,475,0
1607,200,13016796,663,474,0
1609,200,13016812,669,471,0
1608,200,13016812,666,473,0
1611,200,13016828,672,470,0
1610,200,13016828,671,471,0
1613,200,13016843,675,468,0
1612,200,13016843,674,468,0
1614,200,13016859,676,468,0
1615,200,13016859,678,467,0
1617,200,13016875,680,466,0
1616,200,13016875,679,466,0
