Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,517723687,707,939,0
2,200,517723703,659,942,0
1,200,517723703,689,940,0
3,200,517723718,626,946,0
4,200,517723734,605,947,0
5,200,517723734,586,950,0
6,200,517723750,567,952,0
8,200,517723765,537,957,0
7,200,517723765,552,954,0
9,200,517723781,520,960,0
11,200,517723796,488,967,0
10,200,517723796,505,964,0
12,200,517723812,473,971,0
13,200,517723828,459,975,0
14,200,517723828,446,978,0
15,200,517723843,435,980,0
17,200,517723859,418,986,0
16,200,517723859,425,984,0
19,200,517723875,407,990,0
18,200,517723875,411,988,0
20,200,517723890,403,991,0
22,200,517723906,399,993,0
21,200,517723906,400,992,0
23,200,517724171,367,997,0
24,200,517724171,324,1006,0
25,200,517724187,284,1012,0
27,200,517724203,248,1019,0
26,200,517724203,265,1015,0
28,200,517724218,233,1022,0
30,200,517724234,204,1027,0
29,200,517724234,218,1025,0
31,200,517724250,193,1030,0
32,200,517724250,182,1034,0
33,200,517724265,173,1036,0
35,200,517724281,159,1040,0
34,200,517724281,165,1038,0
36,200,517724296,152,1041,0
38,200,517724312,144,1043,0
37,200,517724312,148,1042,0
39,200,517724328,142,1044,0
40,200,517724343,138,1045,0
41,200,517724343,135,1046,0
42,200,517724359,131,1047,0
44,200,517724375,127,1048,0
43,200,517724375,128,1048,0
45,200,517724390,124,1049,0
47,200,517724406,120,1049,0
46,200,517724406,121,1049,0
48,200,517724421,118,1049,0
49,200,517724437,115,1049,0
50,200,517724437,113,1049,0
52,200,517724453,107,1049,0
51,200,517724453,110,1049,0
53,200,517724468,104,1049,0
55,200,517724484,97,1049,0
54,200,517724484,101,1049,0
56,200,517724500,93,1050,0
58,200,517724515,85,1050,0
57,200,517724515,88,1050,0
59,200,517724531,81,1050,0
61,200,517724546,72,1051,0
60,200,517724546,76,1050,0
62,200,517724562,66,1052,0
64,200,517724578,57,1054,0
63,200,517724578,61,1054,0
65,200,517724593,54,1054,0
67,200,517724609,48,1056,0
66,200,517724609,51,1055,0
68,200,517724625,45,1056,0
70,200,517724640,43,1057,0
69,200,517724640,44,1056,0
72,200,517724656,41,1057,0
71,200,517724656,42,1057,0
73,200,517724671,40,1057,0
75,200,517724687,39,1058,0
74,200,517724687,39,1057,0
76,200,517724703,38,1058,0
77,200,517724718,37,1058,0
78,200,517724718,36,1058,0
79,200,517724750,36,1058,0
80,200,517724765,35,1058,0
82,200,517724781,34,1059,0
81,200,517724781,34,1058,0
83,200,517724796,34,1059,0
84,200,517724812,33,1059,0
85,200,517724828,32,1060,0
86,200,517724859,31,1060,0
87,200,517724875,31,1060,0
88,200,517724890,30,1061,0
89,200,517724906,29,1061,0
91,200,517724921,28,1061,0
90,200,517724921,29,1061,0
92,200,517724937,28,1062,0
94,200,517724953,26,1062,0
93,200,517724953,27,1062,0
95,200,517724984,26,1063,0
96,200,517725015,25,1063,0
