Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1839,200,13020296,1538,246,0
1840,200,13020312,1538,246,0
1841,200,13020312,1538,248,0
1843,200,13020328,1538,251,0
1842,200,13020328,1538,250,0
1844,200,13020343,1538,253,0
1846,200,13020359,1538,258,0
1845,200,13020359,1538,255,0
1848,200,13020375,1538,264,0
1847,200,13020375,1538,261,0
1849,200,13020390,1538,267,0
1850,200,13020390,1538,272,0
1852,200,13020406,1538,282,0
1851,200,13020406,1538,277,0
1854,200,13020421,1538,297,0
1853,200,13020421,1538,289,0
1856,200,13020437,1540,315,0
1855,200,13020437,1539,305,0
1857,200,13020453,1542,325,0
1858,200,13020453,1543,335,0
1860,200,13020468,1545,357,0
1859,200,13020468,1544,346,0
1862,200,13020484,1547,374,0
1861,200,13020484,1546,366,0
1864,200,13020500,1548,384,0
1863,200,13020500,1547,380,0
1865,200,13020515,1548,387,0
1866,200,13020515,1548,389,0
1868,200,13020531,1548,392,0
1867,200,13020531,1548,391,0
1870,200,13020546,1548,394,0
1869,200,13020546,1548,393,0
1871,200,13020562,1548,394,0
1872,200,13020578,1548,395,0
1873,200,13020593,1548,395,0
1874,200,13020609,1548,396,0
1875,200,13020609,1548,396,0
1877,200,13020625,1548,398,0
1876,200,13020625,1548,397,0
1879,200,13020640,1548,400,0
1878,200,13020640,1548,399,0
1881,200,13020656,1548,403,0
1880,200,13020656,1548,401,0
1882,200,13020671,1548,403,0
1883,200,13020671,1548,404,0
1885,200,13020687,1548,407,0
1884,200,13020687,1548,406,0
1887,200,13020703,1548,410,0
1886,200,13020703,1548,409,0
1888,200,13020718,1548,412,0
1890,200,13020734,1548,414,0
1889,200,13020734,1548,413,0
1891,200,13020750,1548,415,0
1892,200,13020750,1548,417,0
1894,200,13020765,1548,420,0
1893,200,13020765,1548,419,0
1896,200,13020781,1548,425,0
1895,200,13020781,1548,422,0
1898,200,13020796,1548,429,0
1897,200,13020796,1548,427,0
1899,200,13020812,1548,432,0
1900,200,13020812,1547,434,0
1902,200,13020828,1547,439,0
1901,200,13020828,1547,437,0
1904,200,13020843,1546,443,0
1903,200,13020843,1546,441,0
1906,200,13020859,1546,448,0
1905,200,13020859,1546,446,0
1907,200,13020875,1546,450,0
1908,200,13020875,1545,452,0
