Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
320,200,10574843,204,672,0
322,200,10574859,229,659,0
321,200,10574859,215,666,0
323,200,10574875,245,650,0
325,200,10574890,296,621,0
324,200,10574890,269,637,0
326,200,10574906,326,599,0
328,200,10574921,388,556,0
327,200,10574921,356,578,0
329,200,10574937,419,533,0
331,200,10574953,469,495,0
330,200,10574953,447,512,0
332,200,10574968,488,481,0
333,200,10574984,502,471,0
334,200,10574984,514,463,0
335,200,10575000,522,458,0
337,200,10575015,535,450,0
336,200,10575015,529,453,0
