Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
716,200,13002703,741,377,0
720,200,13002718,736,377,0
721,200,13002734,733,377,0
722,200,13002734,732,376,0
723,200,13002750,730,376,0
724,200,13002750,728,375,0
726,200,13002765,723,375,0
725,200,13002765,725,375,0
727,200,13002781,721,375,0
728,200,13002781,719,375,0
730,200,13002796,714,375,0
729,200,13002796,716,375,0
732,200,13002812,711,375,0
731,200,13002812,713,375,0
733,200,13002828,710,375,0
734,200,13002828,710,375,0
736,200,13002843,708,375,0
735,200,13002843,709,375,0
737,200,13002859,708,375,0
