Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
199,200,525288093,895,182,0
200,200,525288109,910,242,0
202,200,525288125,958,375,0
201,200,525288125,933,310,0
203,200,525288140,985,441,0
205,200,525288156,1032,539,0
204,200,525288156,1010,496,0
207,200,525288171,1046,567,0
206,200,525288171,1039,555,0
208,200,525288187,1051,573,0
209,200,525288203,1054,577,0
210,200,525288203,1057,580,0
211,200,525288218,1059,582,0
212,200,525288484,1050,592,0
213,200,525288500,1042,599,0
214,200,525288500,1035,607,0
215,200,525288515,1030,613,0
217,200,525288531,1022,621,0
216,200,525288531,1025,618,0
218,200,525288546,1021,622,0
219,200,525288562,1020,623,0
220,200,525288562,1018,624,0
221,200,525288578,1018,625,0
223,200,525288593,1017,625,0
222,200,525288593,1018,625,0
224,200,525288609,1017,626,0
225,200,525288625,1016,626,0
226,200,525289046,1016,624,0
227,200,525289062,1015,619,0
228,200,525289062,1015,616,0
229,200,525289078,1015,614,0
230,200,525289093,1014,614,0
231,200,525289093,1014,613,0
232,200,525289109,1014,612,0
233,200,525289125,1014,611,0
