Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
1416,200,525324687,733,1009,0
1417,200,525324703,752,948,0
1418,200,525324703,772,886,0
1419,200,525324718,794,825,0
1420,200,525324734,813,770,0
1421,200,525324734,831,725,0
1423,200,525324750,844,688,0
1422,200,525324750,839,703,0
1424,200,525324765,849,676,0
1425,200,525324781,853,665,0
1426,200,525324781,855,660,0
1427,200,525325031,857,617,0
1428,200,525325046,862,558,0
1429,200,525325046,864,503,0
1430,200,525325062,866,449,0
1431,200,525325078,868,401,0
1432,200,525325078,868,366,0
1433,200,525325093,868,350,0
1435,200,525325109,868,327,0
1434,200,525325109,868,337,0
1437,200,525325375,872,273,0
1436,200,525325375,870,291,0
1438,200,525325390,873,255,0
1440,200,525325406,874,228,0
1439,200,525325406,874,240,0
1441,200,525325421,876,216,0
1443,200,525325437,878,202,0
1442,200,525325437,877,207,0
1444,200,525325453,879,197,0
1445,200,525325453,880,193,0
1446,200,525325468,880,190,0
1448,200,525325484,880,187,0
1447,200,525325484,880,189,0
1449,200,525325500,880,186,0
