Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
169,200,12987968,173,546,0
170,200,12987984,186,546,0
172,200,12988000,227,539,0
171,200,12988000,203,544,0
173,200,12988015,256,535,0
175,200,12988031,316,525,0
174,200,12988031,285,530,0
176,200,12988046,348,518,0
177,200,12988062,380,513,0
178,200,12988062,409,508,0
179,200,12988078,435,502,0
180,200,12988093,456,498,0
181,200,12988093,470,495,0
182,200,12988109,481,492,0
183,200,12988125,489,489,0
184,200,12988125,495,487,0
185,200,12988140,500,485,0
187,200,12988156,503,483,0
186,200,12988156,502,484,0
188,200,12989843,485,489,0
189,200,12989859,457,501,0
190,200,12989859,423,517,0
191,200,12989875,388,537,0
192,200,12989875,348,562,0
193,200,12989890,310,589,0
194,200,12989906,274,615,0
195,200,12989906,243,640,0
196,200,12989921,218,662,0
198,200,12989937,190,687,0
197,200,12989937,200,677,0
199,200,12989953,183,693,0
201,200,12989968,176,700,0
200,200,12989968,178,697,0
202,200,12989984,174,701,0
203,200,12990000,174,702,0
205,200,12990296,175,706,0
204,200,12990296,174,703,0
206,200,12990312,176,708,0
207,200,12990328,176,709,0
208,200,12990328,177,711,0
209,200,12990343,178,711,0
210,200,12990359,178,712,0
211,200,12990359,178,713,0
212,200,12990375,178,714,0
214,200,12990390,179,714,0
213,200,12990390,178,714,0
215,200,12990406,179,715,0
216,200,12990421,179,715,0
217,200,12990437,179,715,0
218,200,12990468,179,716,0
