Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
238,200,517736609,668,1011,0
239,200,517736625,668,1010,0
240,200,517736625,668,1009,0
241,200,517736640,668,1009,0
242,200,517736656,667,1008,0
243,200,517736656,667,1007,0
244,200,517736687,667,1007,0
245,200,517736687,666,1006,0
246,200,517736703,666,1005,0
247,200,517736718,666,1004,0
248,200,517736734,666,1004,0
249,200,517736781,666,1003,0
250,200,517737187,666,1001,0
251,200,517737203,664,1000,0
253,200,517737218,660,995,0
252,200,517737218,662,997,0
255,200,517737234,658,993,0
254,200,517737234,658,993,0
256,200,517737250,656,991,0
257,200,517737265,655,990,0
258,200,517737265,655,989,0
259,200,517737281,654,988,0
261,200,517737296,653,987,0
260,200,517737296,653,988,0
262,200,517737312,652,987,0
263,200,517737328,651,986,0
264,200,517737359,650,985,0
