version,1,startTime,2026-01-09 08:57:21.662,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,30143546,d,1c,80
1,100,30149296,d,1c,0
2,101,30149453,d,1c,80
3,100,30149843,31,2,0
4,101,30149953,31,2,80
5,100,30150125,32,3,0
6,101,30150218,32,3,80
7,100,30150390,33,4,0
8,101,30150546,33,4,80
9,100,30151109,8,e,0
10,101,30151203,8,e,80
11,100,30151312,8,e,0
12,101,30151390,8,e,80
13,100,30151500,8,e,0
14,101,30151593,8,e,80
15,100,30154546,32,3,0
16,101,30154687,32,3,80
17,100,30154750,d,1c,0
