version,1,startTime,2026-01-06 02:23:28.944,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,12984312,666,924,0
1,200,12984328,678,893,0
2,200,12984343,691,860,0
3,200,12984343,701,827,0
4,200,12984359,711,797,0
5,200,12984375,718,765,0
6,200,12984375,724,738,0
7,200,12984390,729,715,0
8,200,12984406,731,699,0
9,200,12984406,732,689,0
10,200,12984421,733,682,0
11,200,12984421,733,676,0
12,200,12984437,733,673,0
13,200,12984453,733,670,0
14,200,12984453,730,668,0
15,200,12984468,718,666,0
16,200,12984484,702,666,0
17,200,12984484,681,668,0
18,200,12984500,653,678,0
19,200,12984515,624,693,0
20,200,12984515,596,716,0
21,200,12984531,572,744,0
22,200,12984546,548,777,0
23,200,12984546,531,807,0
24,200,12984562,519,837,0
25,200,12984578,510,867,0
26,200,12984578,506,893,0
27,200,12984593,506,918,0
28,200,12984609,506,933,0
29,200,12984609,510,946,0
30,200,12984625,517,956,0
31,200,12984640,527,964,0
32,200,12984640,538,968,0
33,200,12984656,553,970,0
34,200,12984656,569,969,0
35,200,12984671,591,962,0
36,200,12984687,612,952,0
37,200,12984687,634,936,0
38,200,12984703,655,917,0
39,200,12984718,672,897,0
40,200,12984718,688,872,0
41,200,12984734,701,849,0
42,200,12984750,710,821,0
43,200,12984750,718,796,0
44,200,12984765,721,771,0
45,200,12984781,723,745,0
46,200,12984781,723,731,0
47,200,12984796,720,717,0
48,200,12984812,713,707,0
49,200,12984828,698,700,0
50,200,12984828,679,696,0
51,200,12984843,658,696,0
52,200,12984843,631,702,0
53,200,12984859,600,715,0
54,200,12984875,572,734,0
55,200,12984875,544,759,0
56,200,12984890,521,787,0
57,200,12984906,502,817,0
58,200,12984906,491,845,0
59,200,12984921,485,869,0
60,200,12984921,482,887,0
61,200,12984937,482,901,0
62,200,12984953,487,914,0
63,200,12984953,493,924,0
64,200,12984968,504,930,0
65,200,12984984,518,935,0
66,200,12984984,536,938,0
67,200,12985000,553,938,0
68,200,12985015,574,934,0
69,200,12985015,592,926,0
70,200,12985031,608,915,0
71,200,12985046,625,902,0
72,200,12985046,637,891,0
73,200,12985062,645,881,0
74,200,12985078,650,870,0
75,200,12985078,655,861,0
76,200,12985093,655,847,0
77,200,12985109,655,837,0
78,200,12985109,651,824,0
79,200,12985125,643,813,0
80,200,12985125,633,803,0
81,200,12985140,621,797,0
82,200,12985156,606,794,0
83,200,12985156,591,793,0
84,200,12985171,574,794,0
85,200,12985187,557,801,0
86,200,12985187,538,812,0
87,200,12985203,523,826,0
88,200,12985453,497,801,0
89,200,12985468,465,767,0
90,200,12985484,429,725,0
91,200,12985484,392,679,0
92,200,12985500,360,632,0
93,200,12985515,330,584,0
94,200,12985515,303,543,0
95,200,12985531,283,509,0
96,200,12985546,268,482,0
97,200,12985546,261,469,0
98,200,12985562,257,458,0
99,200,12985578,254,451,0
100,200,12985578,252,445,0
101,200,12985828,226,435,0
102,200,12985828,197,424,0
103,200,12985843,169,412,0
104,200,12985859,144,403,0
105,200,12985859,124,394,0
106,200,12985875,110,389,0
107,200,12985890,100,385,0
108,200,12985890,91,382,0
109,200,12985906,87,380,0
110,200,12985921,84,379,0
111,200,12985921,82,378,0
112,200,12986203,79,376,0
113,200,12986218,77,375,0
114,200,12986218,75,373,0
115,200,12986234,74,372,0
116,200,12986250,73,371,0
117,200,12986250,72,371,0
118,200,12986265,72,371,0
119,200,12986281,72,370,0
120,200,12986281,71,370,0
121,200,12986296,71,369,0
122,200,12986296,71,369,0
123,200,12986343,70,369,0
124,201,12986468,70,369,0
125,202,12986468,70,369,0
126,200,12986796,73,374,0
127,200,12986796,80,383,0
128,200,12986812,86,391,0
129,200,12986828,93,400,0
130,200,12986828,100,409,0
131,200,12986843,107,417,0
132,200,12986859,112,425,0
133,200,12986859,117,431,0
134,200,12986875,123,438,0
135,200,12986890,129,445,0
136,200,12986890,133,452,0
137,200,12986906,138,458,0
138,200,12986921,142,464,0
139,200,12986921,145,469,0
140,200,12986937,147,473,0
141,200,12986953,150,478,0
142,200,12986953,152,481,0
143,200,12987203,152,493,0
144,200,12987218,152,502,0
145,200,12987218,153,509,0
146,200,12987234,154,515,0
