version,1,startTime,2025-12-30 13:08:17.330,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,100,517899859,52,13,0
1,101,517899937,52,13,80
2,100,517900046,49,17,0
3,101,517900140,49,17,80
4,100,517900343,43,2e,0
5,101,517900468,43,2e,80
6,100,517900500,4b,25,0
7,101,517900593,4b,25,80
8,100,517901640,9,f,0
9,101,517901765,9,f,80
10,100,517902453,d,1c,0
11,101,517902531,d,1c,80
12,100,517910531,32,3,0
13,101,517910640,32,3,80
14,100,517911000,d,1c,0
15,101,517911078,d,1c,80
