version,1,startTime,2026-01-09 00:43:04.574,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,486437,d,1c,80
1,100,498968,43,2e,0
2,101,499078,43,2e,80
3,100,499109,4f,18,0
4,101,499203,4f,18,80
5,100,499390,20,39,0
6,101,499484,20,39,80
7,100,499765,43,2e,0
8,101,499859,43,2e,80
9,100,500078,4f,18,0
10,101,500140,4f,18,80
11,100,500296,4e,31,0
12,101,500375,4e,31,80
13,100,500500,20,39,0
14,100,500593,43,2e,0
15,101,500593,20,39,80
16,100,500718,41,1e,0
17,101,500781,43,2e,80
18,101,500875,41,1e,80
19,100,500906,20,39,0
20,101,501015,20,39,80
21,100,501515,54,14,0
22,101,501609,54,14,80
23,100,501828,4f,18,0
24,101,501921,4f,18,80
25,100,502609,8,e,0
26,101,502687,8,e,80
27,100,502953,8,e,0
28,101,503046,8,e,80
29,100,503812,42,30,0
30,101,503875,42,30,80
31,100,504421,45,12,0
32,101,504531,45,12,80
33,100,506343,d,1c,0
34,101,506453,d,1c,80
35,100,510515,43,2e,0
36,100,510687,4f,18,0
37,101,510687,43,2e,80
38,101,510765,4f,18,80
39,100,510968,20,39,0
40,101,511062,20,39,80
41,100,511187,43,2e,0
42,101,511312,43,2e,80
43,100,511468,4f,18,0
44,101,511546,4f,18,80
45,100,511703,4e,31,0
46,101,511781,4e,31,80
47,100,511875,20,39,0
48,100,511937,43,2e,0
49,101,511984,20,39,80
50,100,512078,41,1e,0
51,101,512156,43,2e,80
52,101,512234,41,1e,80
53,100,512312,20,39,0
54,101,512421,20,39,80
55,100,512890,54,14,0
56,101,512984,54,14,80
57,100,513187,4f,18,0
58,101,513281,4f,18,80
59,100,517125,8,e,0
60,101,517234,8,e,80
61,100,517359,8,e,0
62,101,517437,8,e,80
63,100,517984,42,30,0
64,101,518062,42,30,80
65,100,518156,45,12,0
66,101,518265,45,12,80
67,100,518718,d,1c,0
68,101,518812,d,1c,80
69,100,523328,a2,0,10
70,101,523468,a2,0,90
71,100,523718,a2,0,10
72,101,523828,a2,0,90
73,100,538078,43,2e,0
74,101,538203,43,2e,80
75,100,538234,4f,18,0
76,101,538359,4f,18,80
77,100,538906,20,39,0
78,101,539015,20,39,80
79,100,539078,43,2e,0
80,101,539218,43,2e,80
81,100,539250,4f,18,0
82,101,539328,4f,18,80
83,100,539515,4e,31,0
84,101,539593,4e,31,80
85,100,539718,20,39,0
86,101,539812,20,39,80
87,100,539812,43,2e,0
88,100,540031,41,1e,0
89,101,540062,43,2e,80
90,101,540156,41,1e,80
91,100,540546,20,39,0
92,101,540640,20,39,80
93,100,540843,54,14,0
94,101,540937,54,14,80
95,100,541140,4f,18,0
96,101,541218,4f,18,80
97,100,541390,8,e,0
98,101,541468,8,e,80
99,100,541578,8,e,0
100,101,541671,8,e,80
101,100,542234,42,30,0
102,101,542312,42,30,80
103,100,542390,45,12,0
104,101,542484,45,12,80
105,100,542781,d,1c,0
106,101,542875,d,1c,80
107,100,638484,a2,1d,0
108,100,638671,43,2e,0
109,101,638765,a2,1d,80
110,101,638812,43,2e,80
111,100,693156,44,20,0
112,100,693312,4b,25,0
113,100,693312,41,1e,0
114,101,693406,44,20,80
115,100,693500,53,1f,0
116,101,693515,4b,25,80
117,100,693562,4d,32,0
118,101,693593,41,1e,80
119,101,693593,4d,32,80
120,100,693625,4b,25,0
121,100,693640,44,20,0
122,101,693671,53,1f,80
123,101,693750,4b,25,80
124,100,693796,41,1e,0
125,100,693812,4b,25,0
126,101,693843,44,20,80
127,100,693843,53,1f,0
128,101,693953,4b,25,80
129,101,693984,41,1e,80
130,100,694015,44,20,0
131,101,694046,53,1f,80
132,101,694203,44,20,80
133,100,694203,41,1e,0
134,100,694250,53,1f,0
135,101,694328,41,1e,80
136,101,694343,53,1f,80
137,100,700515,bb,d,0
138,101,700734,bb,d,80
139,100,701078,2e,53,1
140,101,701234,2e,53,81
141,100,701453,8,e,0
142,100,701937,8,e,0
143,100,701968,8,e,0
144,100,701984,8,e,0
145,100,702031,8,e,0
146,100,702062,8,e,0
147,100,702093,8,e,0
148,100,702125,8,e,0
149,100,702140,8,e,0
150,100,702171,8,e,0
151,100,702203,8,e,0
152,100,702234,8,e,0
153,100,702265,8,e,0
154,101,702296,8,e,80
155,100,702515,8,e,0
156,101,702625,8,e,80
157,100,704156,32,3,0
158,101,704312,32,3,80
