version,1,startTime,2026-01-09 17:43:43.863,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,8193765,d,1c,80
1,100,8196796,31,2,0
2,101,8196937,31,2,80
3,100,8197109,32,3,0
4,101,8197281,32,3,80
5,100,8197453,33,4,0
6,101,8197578,33,4,80
7,100,8198250,8,e,0
8,101,8198359,8,e,80
9,100,8198468,8,e,0
10,101,8198546,8,e,80
11,100,8198625,8,e,0
12,101,8198734,8,e,80
13,100,8199156,31,2,0
14,101,8199312,31,2,80
15,100,8199390,32,3,0
16,101,8199562,32,3,80
17,100,8199593,33,4,0
18,101,8199718,33,4,80
19,100,8199875,8,e,0
20,101,8199984,8,e,80
21,100,8200093,8,e,0
22,101,8200171,8,e,80
23,100,8200265,8,e,0
24,101,8200390,8,e,80
25,100,8203265,32,3,0
26,101,8203375,32,3,80
27,100,8203640,d,1c,0
