version,1,startTime,2025-12-30 15:11:28.427,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,525285328,968,431,0
1,200,525285328,968,441,0
2,200,525285343,971,455,0
3,200,525285343,979,467,0
4,200,525285359,992,477,0
5,200,525285375,1004,485,0
6,200,525285375,1021,491,0
7,200,525285390,1038,492,0
8,200,525285406,1056,492,0
9,200,525285406,1074,488,0
10,200,525285421,1107,469,0
11,200,525285437,1138,444,0
12,200,525285437,1168,414,0
13,200,525285453,1197,376,0
14,200,525285468,1221,336,0
15,200,525285468,1241,297,0
16,200,525285484,1249,278,0
17,200,525285500,1253,263,0
18,200,525285500,1253,251,0
19,200,525285515,1251,241,0
20,200,525285531,1242,232,0
21,200,525285531,1225,226,0
22,200,525285546,1190,226,0
23,200,525285546,1148,229,0
24,200,525285562,1100,248,0
25,200,525285578,1051,271,0
26,200,525285578,1000,302,0
27,200,525285593,956,338,0
28,200,525285609,920,371,0
29,200,525285609,895,400,0
30,200,525285625,886,414,0
31,200,525285640,877,426,0
32,200,525285640,873,438,0
33,200,525285656,872,448,0
34,200,525285671,874,460,0
35,200,525285671,882,471,0
36,200,525285687,896,483,0
37,200,525285703,918,491,0
38,200,525285703,957,497,0
39,200,525285718,996,501,0
40,200,525285718,1041,498,0
41,200,525285734,1082,485,0
42,200,525285750,1121,468,0
43,200,525285750,1156,442,0
44,200,525285765,1188,412,0
45,200,525285781,1214,377,0
46,200,525285781,1235,340,0
47,200,525285796,1247,309,0
48,200,525285812,1250,294,0
49,200,525285812,1250,277,0
50,200,525285828,1244,263,0
51,200,525285843,1230,254,0
52,200,525285843,1200,243,0
53,200,525285859,1155,241,0
54,200,525285875,1100,247,0
55,200,525285875,1042,266,0
56,200,525285890,989,293,0
57,200,525285906,939,321,0
58,200,525285906,900,353,0
59,200,525285921,871,380,0
60,200,525285937,860,392,0
61,200,525285937,853,404,0
62,200,525285953,848,417,0
63,200,525285968,847,427,0
64,200,525285968,847,439,0
65,200,525285984,857,450,0
66,200,525285984,871,459,0
67,200,525286000,899,472,0
68,200,525286015,935,480,0
69,200,525286015,974,484,0
70,200,525286031,1015,483,0
71,200,525286046,1053,472,0
72,200,525286046,1089,453,0
73,200,525286062,1123,427,0
74,200,525286078,1156,395,0
75,200,525286078,1188,356,0
76,200,525286093,1215,312,0
77,200,525286109,1238,270,0
78,200,525286109,1251,232,0
79,200,525286125,1255,216,0
80,200,525286140,1255,205,0
81,200,525286140,1252,196,0
82,200,525286156,1238,187,0
83,200,525286171,1220,187,0
84,200,525286171,1184,190,0
85,200,525286187,1136,206,0
86,200,525286203,1083,232,0
87,200,525286203,1033,266,0
88,200,525286218,981,305,0
89,200,525286218,942,345,0
90,200,525286234,904,390,0
91,200,525286250,880,427,0
92,200,525286250,868,447,0
93,200,525286265,864,464,0
94,200,525286281,861,479,0
95,200,525286281,861,492,0
96,200,525286296,865,505,0
97,200,525286312,876,516,0
98,200,525286312,895,525,0
99,200,525286328,931,533,0
100,200,525286343,976,535,0
101,200,525286343,1021,532,0
102,200,525286359,1069,516,0
103,200,525286375,1116,490,0
104,200,525286375,1157,458,0
105,200,525286390,1197,415,0
106,200,525286406,1236,367,0
107,200,525286406,1267,317,0
108,200,525286421,1288,268,0
109,200,525286421,1301,227,0
110,200,525286437,1304,208,0
111,200,525286453,1304,193,0
112,200,525286453,1297,179,0
113,200,525286468,1283,169,0
114,200,525286484,1254,164,0
115,200,525286484,1210,164,0
116,200,525286500,1163,174,0
117,200,525286515,1111,195,0
118,200,525286515,1058,224,0
119,200,525286531,1010,260,0
120,200,525286546,967,301,0
121,200,525286546,932,342,0
122,200,525286562,906,377,0
123,200,525286578,897,396,0
124,200,525286578,890,412,0
125,200,525286593,887,423,0
126,200,525286609,887,435,0
127,200,525286609,887,445,0
128,200,525286625,890,453,0
129,200,525286640,895,459,0
130,200,525286640,902,464,0
131,200,525286656,914,465,0
132,200,525286656,927,465,0
133,200,525286671,941,459,0
134,200,525286687,958,447,0
135,200,525286687,985,418,0
136,200,525286703,1011,383,0
137,200,525286718,1033,343,0
138,200,525286718,1048,305,0
139,200,525286734,1058,271,0
140,200,525286750,1060,233,0
141,200,525286750,1060,218,0
142,200,525286765,1059,203,0
143,200,525286781,1055,191,0
144,200,525286781,1050,180,0
145,200,525286796,1043,173,0
146,200,525286812,1037,165,0
147,200,525286812,1028,158,0
148,200,525286828,1020,153,0
149,200,525286843,1011,150,0
150,200,525286843,1003,146,0
151,200,525286859,995,143,0
152,200,525286875,988,141,0
153,200,525286875,984,140,0
154,200,525286890,980,138,0
155,200,525286890,976,137,0
156,200,525286906,974,136,0
157,200,525286921,971,135,0
158,200,525286921,969,133,0
159,200,525286937,966,132,0
160,200,525286953,965,132,0
161,200,525286953,963,130,0
162,200,525286968,961,129,0
163,200,525286984,959,128,0
164,200,525286984,957,127,0
165,200,525287000,955,126,0
166,200,525287015,952,126,0
167,200,525287015,951,125,0
168,200,525287031,948,125,0
169,200,525287046,945,125,0
170,200,525287046,943,125,0
171,200,525287062,940,125,0
172,200,525287078,935,125,0
173,200,525287078,931,127,0
174,200,525287093,927,127,0
175,200,525287093,923,128,0
176,200,525287109,919,131,0
177,200,525287125,916,131,0
178,200,525287125,913,132,0
179,200,525287140,912,133,0
180,200,525287156,910,134,0
181,200,525287156,908,134,0
182,200,525287171,907,135,0
183,200,525287187,905,136,0
184,200,525287187,903,137,0
185,200,525287203,903,137,0
186,200,525287218,901,138,0
187,200,525287218,899,139,0
188,200,525287234,899,140,0
189,200,525287250,897,140,0
190,200,525287250,896,141,0
191,200,525287265,896,142,0
192,200,525287281,895,143,0
193,200,525287281,894,144,0
194,200,525287296,893,145,0
195,200,525287296,893,146,0
196,200,525287312,892,147,0
197,201,525287609,892,147,0
198,202,525287609,892,147,0
199,200,525288093,895,182,0
200,200,525288109,910,242,0
201,200,525288125,933,310,0
202,200,525288125,958,375,0
203,200,525288140,985,441,0
204,200,525288156,1010,496,0
205,200,525288156,1032,539,0
206,200,525288171,1039,555,0
207,200,525288171,1046,567,0
208,200,525288187,1051,573,0
209,200,525288203,1054,577,0
210,200,525288203,1057,580,0
211,200,525288218,1059,582,0
212,200,525288484,1050,592,0
213,200,525288500,1042,599,0
214,200,525288500,1035,607,0
215,200,525288515,1030,613,0
216,200,525288531,1025,618,0
217,200,525288531,1022,621,0
218,200,525288546,1021,622,0
219,200,525288562,1020,623,0
220,200,525288562,1018,624,0
221,200,525288578,1018,625,0
222,200,525288593,1018,625,0
223,200,525288593,1017,625,0
224,200,525288609,1017,626,0
225,200,525288625,1016,626,0
226,200,525289046,1016,624,0
227,200,525289062,1015,619,0
228,200,525289062,1015,616,0
229,200,525289078,1015,614,0
230,200,525289093,1014,614,0
231,200,525289093,1014,613,0
232,200,525289109,1014,612,0
233,200,525289125,1014,611,0
234,201,525289328,1014,611,0
235,202,525289328,1014,611,0
236,200,525289703,1041,589,0
237,200,525289703,1089,547,0
238,200,525289718,1141,503,0
239,200,525289734,1200,457,0
240,200,525289734,1264,411,0
241,200,525289750,1329,361,0
242,200,525289765,1390,318,0
243,200,525289765,1454,274,0
244,200,525289781,1511,240,0
245,200,525289796,1565,208,0
246,200,525289796,1604,188,0
247,200,525289812,1623,179,0
248,200,525289828,1637,173,0
249,200,525290109,1644,171,0
250,200,525290125,1650,170,0
251,200,525290140,1654,168,0
252,200,525290140,1658,167,0
253,200,525290156,1660,166,0
254,200,525290171,1661,166,0
255,200,525290171,1663,165,0
256,200,525290187,1664,165,0
257,200,525290203,1664,164,0
258,200,525290203,1665,164,0
259,201,525290453,1665,164,0
260,202,525290453,1665,164,0
261,200,525291031,1633,174,0
262,200,525291046,1580,198,0
263,200,525291046,1525,225,0
264,200,525291062,1468,257,0
265,200,525291078,1407,294,0
266,200,525291078,1349,337,0
267,200,525291093,1291,383,0
268,200,525291109,1242,424,0
269,200,525291109,1203,461,0
270,200,525291125,1179,490,0
271,200,525291140,1168,502,0
272,200,525291140,1160,511,0
273,200,525291156,1155,519,0
274,200,525291156,1152,525,0
275,200,525291421,1150,538,0
276,200,525291437,1148,552,0
277,200,525291453,1147,562,0
278,200,525291453,1146,570,0
279,200,525291468,1145,577,0
280,200,525291484,1145,583,0
281,200,525291484,1145,586,0
282,200,525291500,1145,589,0
283,200,525291515,1145,592,0
284,200,525291515,1145,593,0
285,200,525291531,1145,595,0
286,200,525291546,1145,596,0
287,200,525291546,1145,596,0
288,200,525291562,1145,597,0
289,200,525291578,1145,598,0
290,200,525291593,1145,598,0
291,200,525291609,1145,599,0
292,200,525291640,1145,600,0
293,200,525291687,1145,600,0
294,200,525291765,1145,601,0
295,200,525291781,1145,602,0
296,200,525291812,1145,603,0
297,200,525291812,1145,603,0
298,200,525291828,1145,604,0
299,200,525291828,1145,605,0
300,200,525291843,1145,606,0
301,200,525291859,1145,607,0
302,200,525291859,1145,608,0
303,200,525291875,1145,608,0
304,201,525292093,1145,608,0
305,202,525292093,1145,608,0
306,200,525292390,1162,595,0
307,200,525292406,1173,584,0
308,200,525292421,1185,573,0
309,200,525292421,1198,562,0
310,200,525292437,1209,552,0
311,200,525292453,1220,542,0
312,200,525292453,1231,533,0
313,200,525292468,1240,523,0
314,200,525292484,1247,514,0
315,200,525292484,1253,507,0
316,200,525292500,1259,497,0
317,200,525292515,1263,490,0
318,200,525292515,1267,484,0
319,200,525292531,1269,479,0
320,200,525292531,1270,475,0
321,200,525292546,1271,471,0
322,200,525292562,1271,468,0
323,200,525292562,1271,465,0
324,200,525292578,1270,464,0
325,200,525292593,1266,461,0
326,200,525292593,1256,458,0
327,200,525292609,1242,458,0
328,200,525292625,1229,458,0
329,200,525292625,1214,461,0
330,200,525292640,1200,465,0
331,200,525292656,1188,469,0
332,200,525292656,1177,476,0
333,200,525292671,1167,483,0
334,200,525292687,1159,488,0
335,200,525292687,1153,494,0
336,200,525292703,1148,500,0
337,200,525292718,1143,507,0
338,200,525292718,1140,513,0
339,200,525292734,1137,519,0
340,200,525292750,1136,524,0
341,200,525292750,1136,529,0
342,200,525292765,1136,536,0
343,200,525292765,1137,542,0
344,200,525292781,1140,548,0
345,200,525292796,1143,550,0
346,200,525292796,1146,555,0
347,200,525292812,1150,557,0
348,200,525292828,1157,561,0
349,200,525292828,1166,562,0
350,200,525292843,1175,563,0
351,200,525292859,1185,564,0
352,200,525292859,1196,564,0
353,200,525292875,1208,564,0
354,200,525292890,1218,563,0
355,200,525292890,1229,560,0
356,200,525292906,1239,556,0
357,200,525292921,1248,551,0
358,200,525292921,1257,546,0
359,200,525292937,1267,538,0
360,200,525292953,1275,529,0
361,200,525292953,1281,518,0
362,200,525292968,1288,507,0
363,200,525292984,1292,497,0
364,200,525292984,1295,488,0
365,200,525293000,1296,479,0
366,200,525293015,1296,471,0
367,200,525293015,1296,465,0
368,200,525293031,1289,458,0
369,200,525293031,1280,453,0
370,200,525293046,1268,448,0
371,200,525293062,1257,448,0
372,200,525293062,1242,448,0
373,200,525293078,1228,450,0
374,200,525293093,1214,456,0
375,200,525293093,1202,463,0
376,200,525293109,1191,469,0
377,200,525293125,1182,477,0
378,200,525293125,1173,484,0
379,200,525293140,1168,491,0
380,200,525293156,1163,497,0
381,200,525293156,1160,502,0
382,200,525293171,1157,507,0
383,200,525293187,1156,511,0
384,200,525293187,1156,514,0
385,200,525293203,1156,517,0
386,200,525293218,1156,518,0
387,200,525293218,1156,520,0
388,200,525293953,1179,497,0
389,200,525293968,1214,466,0
390,200,525293968,1247,435,0
391,200,525293984,1276,406,0
392,200,525294000,1291,392,0
393,200,525294000,1317,368,0
394,200,525294015,1328,357,0
395,200,525294031,1340,348,0
396,200,525294031,1351,338,0
397,200,525294046,1364,330,0
398,200,525294093,1375,323,0
399,200,525294093,1385,316,0
400,200,525294328,1412,297,0
401,200,525294328,1424,289,0
402,200,525294343,1437,279,0
403,200,525294359,1449,272,0
404,200,525294375,1458,266,0
405,200,525294375,1469,259,0
406,200,525294375,1480,254,0
407,200,525294390,1487,250,0
408,200,525294406,1496,246,0
409,200,525294406,1503,244,0
410,200,525294421,1511,240,0
411,200,525294437,1516,238,0
412,200,525294437,1520,236,0
413,200,525294453,1523,235,0
414,200,525294468,1526,233,0
415,200,525294468,1529,232,0
416,200,525294484,1530,231,0
417,200,525294500,1531,231,0
418,200,525294500,1532,230,0
419,200,525294515,1532,230,0
420,200,525294531,1533,230,0
421,200,525294562,1534,230,0
422,200,525294609,1531,232,0
423,200,525294625,1501,262,0
424,200,525294625,1462,297,0
425,200,525294640,1424,331,0
426,200,525294640,1382,363,0
427,200,525294656,1337,399,0
428,200,525294671,1296,428,0
429,200,525294671,1252,458,0
430,200,525294687,1217,484,0
431,200,525294703,1187,505,0
432,200,525294703,1173,514,0
433,200,525294718,1164,521,0
434,200,525294734,1156,526,0
435,200,525294734,1150,530,0
436,200,525294750,1144,533,0
437,200,525294765,1142,535,0
438,200,525295078,1140,535,0
439,200,525295078,1138,532,0
440,200,525295093,1135,530,0
441,200,525295109,1134,529,0
442,200,525295109,1133,527,0
443,200,525295125,1132,525,0
444,200,525295140,1130,522,0
445,200,525295140,1129,521,0
446,200,525295156,1128,520,0
447,200,525295171,1128,518,0
448,200,525295171,1127,517,0
449,200,525295187,1127,516,0
450,200,525295203,1127,515,0
451,200,525295203,1127,514,0
452,200,525295218,1127,513,0
453,200,525295234,1127,512,0
454,200,525295234,1127,511,0
455,200,525295265,1127,510,0
456,200,525295265,1127,509,0
457,200,525295281,1127,509,0
458,200,525295312,1127,508,0
459,201,525295656,1127,508,0
460,202,525295656,1127,508,0
461,200,525296234,1126,500,0
462,200,525296250,1123,491,0
463,200,525296250,1122,484,0
464,200,525296265,1120,479,0
465,200,525296281,1120,475,0
466,200,525296281,1119,471,0
467,200,525296296,1118,469,0
468,200,525296312,1118,468,0
469,200,525296312,1118,467,0
470,200,525296328,1118,466,0
