version,1,startTime,2026-01-09 00:46:48.903,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,711812,567,980,0
1,200,711812,576,940,0
2,200,711828,588,895,0
3,200,711828,601,846,0
4,200,711843,615,797,0
5,200,711843,628,754,0
6,200,711875,641,713,0
7,200,711890,650,678,0
8,200,711890,657,661,0
9,200,711906,660,649,0
10,200,711921,662,642,0
11,200,711921,664,638,0
12,20a,712218,664,638,fffc0000
13,20a,712234,664,638,ff600000
14,20a,712234,664,638,ff600000
15,20a,712250,664,638,ff600000
16,20a,712265,664,638,ff600000
17,20a,712281,664,638,ff600000
18,20a,712281,664,638,ff800000
19,20a,712296,664,638,ffa00000
20,20a,712312,664,638,ffd00000
21,20a,712312,664,638,ffd00000
22,20a,712328,664,638,ffe00000
23,20a,712343,664,638,fff00000
24,20a,712375,664,638,fff60000
25,20a,712390,664,638,fff70000
26,20a,712406,664,638,fff70000
27,20a,712421,664,638,fff70000
28,20a,712437,664,638,fff70000
29,20a,712453,664,638,fff70000
30,20a,712468,664,638,fff80000
31,20a,712484,664,638,fff80000
32,20a,712609,664,638,fffc0000
33,20a,712609,664,638,fff00000
34,20a,712640,664,638,fff80000
35,20a,712640,664,638,fff80000
36,20a,712656,664,638,fffc0000
37,20a,712671,664,638,fffc0000
38,20a,712671,664,638,fffc0000
39,20a,712687,664,638,fffc0000
40,20a,712703,664,638,fffc0000
41,200,713187,672,623,0
42,200,713203,680,613,0
43,200,713218,687,603,0
44,200,713218,691,596,0
45,200,713234,695,590,0
46,200,713250,699,587,0
47,200,713250,701,583,0
48,200,713265,703,581,0
49,200,713281,705,579,0
50,200,713281,706,579,0
51,200,713296,708,577,0
52,200,713312,709,577,0
53,200,713312,710,576,0
54,200,713328,711,576,0
55,200,713343,712,575,0
56,200,713343,713,575,0
57,200,713359,715,575,0
58,200,713640,705,600,0
59,200,713656,690,641,0
60,200,713671,677,682,0
61,200,713671,664,728,0
62,200,713687,653,771,0
63,200,713703,643,817,0
64,200,713703,634,854,0
65,200,713718,629,886,0
66,200,713734,626,909,0
67,200,713734,624,924,0
68,200,713750,623,934,0
69,200,714000,623,947,0
70,200,714015,623,958,0
71,200,714015,622,967,0
72,200,714031,622,976,0
73,200,714031,622,983,0
74,200,714046,622,988,0
75,200,714062,622,993,0
76,200,714062,622,995,0
77,200,714078,622,997,0
78,200,714093,622,998,0
79,200,714093,622,999,0
80,200,715625,623,974,0
81,200,715640,626,930,0
82,200,715656,634,880,0
83,200,715671,646,824,0
84,200,715671,660,770,0
85,200,715687,676,713,0
86,200,715703,694,664,0
87,200,715703,711,620,0
88,200,715718,723,591,0
89,200,715718,732,576,0
90,200,715734,739,564,0
91,200,715734,744,558,0
92,200,715750,750,553,0
93,20a,716015,750,553,fffc0000
94,20a,716015,750,553,ff800000
95,20a,716031,750,553,ff600000
96,20a,716046,750,553,ff800000
97,20a,716062,750,553,ffa00000
98,20a,716062,750,553,ffb80000
99,20a,716078,750,553,ffb80000
100,20a,716093,750,553,ffe00000
101,20a,716093,750,553,ffe00000
102,20a,716109,750,553,fff00000
103,20a,716125,750,553,fff80000
104,20a,716125,750,553,fffc0000
105,20a,716156,750,553,fffa0000
106,20a,716171,750,553,fffb0000
107,20a,716187,750,553,fffb0000
108,20a,716203,750,553,fffb0000
109,20a,716218,750,553,fffb0000
110,20a,716234,750,553,fffb0000
111,20a,716250,750,553,fffc0000
112,20a,716359,750,553,fffc0000
113,20a,716375,750,553,ffe00000
114,20a,716406,750,553,ffe00000
115,20a,716406,750,553,ffe00000
116,20a,716421,750,553,fff00000
117,20a,716421,750,553,fff00000
118,20a,716437,750,553,fff80000
119,20a,716453,750,553,fffc0000
120,20a,716453,750,553,fff80000
121,20a,716468,750,553,fffc0000
122,20a,716500,750,553,fffc0000
123,20a,716515,750,553,fffd0000
124,20a,716531,750,553,fffd0000
125,20a,716546,750,553,fffd0000
126,20a,716562,750,553,fffd0000
127,20a,716593,750,553,fffd0000
128,200,716671,738,592,0
129,200,716687,722,646,0
130,200,716687,706,700,0
131,200,716703,694,756,0
132,200,716718,683,807,0
133,200,716718,675,847,0
134,200,716734,669,879,0
135,200,716734,664,900,0
136,200,716750,661,912,0
137,200,716765,660,922,0
138,200,716765,659,929,0
139,200,716781,658,933,0
140,200,716796,657,936,0
141,200,716812,657,938,0
142,200,726921,657,918,0
143,200,726921,658,888,0
144,200,726937,661,854,0
145,200,726937,665,815,0
146,200,726953,670,778,0
147,200,726968,676,739,0
148,200,726984,681,702,0
149,200,726984,686,668,0
150,200,727000,691,642,0
151,200,727000,693,627,0
152,200,727015,694,617,0
153,200,727015,696,611,0
154,200,727031,697,607,0
155,20a,727343,697,607,fffc0000
156,20a,727375,697,607,ffe00000
157,20a,727375,697,607,ffe00000
158,20a,727390,697,607,fff00000
159,20a,727406,697,607,ffe00000
160,20a,727406,697,607,fff00000
161,20a,727421,697,607,fff80000
162,20a,727437,697,607,fff00000
163,20a,727437,697,607,fff00000
164,20a,727453,697,607,fff00000
165,20a,727468,697,607,fff80000
166,20a,727468,697,607,fff00000
167,20a,727484,697,607,fff80000
168,20a,727484,697,607,fff80000
169,20a,727500,697,607,fff80000
170,20a,727531,697,607,fffc0000
171,20a,727546,697,607,fffd0000
172,20a,727562,697,607,fffd0000
173,20a,727593,697,607,fffd0000
174,20a,727609,697,607,fffd0000
175,20a,727625,697,607,fffd0000
176,20a,727640,697,607,fffe0000
177,20a,727656,697,607,fffe0000
178,20a,727671,697,607,fffe0000
179,20a,727687,697,607,fffe0000
180,200,727781,686,629,0
181,200,727781,671,657,0
182,200,727796,659,688,0
183,200,727812,647,719,0
184,200,727812,637,749,0
185,200,727828,629,782,0
186,200,727843,620,811,0
187,200,727843,614,841,0
188,200,727843,610,862,0
189,200,727875,607,877,0
190,200,727890,606,889,0
191,200,727890,605,899,0
192,200,727906,604,904,0
193,200,727921,604,908,0
194,200,727921,603,911,0
195,200,728140,598,926,0
196,200,728156,593,935,0
197,200,728171,588,945,0
198,200,728187,583,956,0
199,200,728187,579,965,0
200,200,728203,576,972,0
201,200,728218,573,979,0
202,200,728218,570,984,0
203,200,728234,568,988,0
204,200,728234,567,992,0
205,200,728250,565,995,0
206,200,728265,564,997,0
207,200,728281,564,998,0
208,200,728281,563,999,0
209,200,728281,562,1000,0
210,200,728296,562,1000,0
211,200,728312,562,1001,0
212,200,728328,562,1001,0
213,200,728343,561,1003,0
214,200,728343,560,1005,0
215,200,728359,558,1007,0
216,200,728375,557,1009,0
217,200,728375,555,1012,0
218,200,728390,554,1015,0
219,200,728406,553,1017,0
220,200,728406,552,1018,0
221,200,728421,551,1020,0
222,200,728421,550,1021,0
223,200,728437,550,1022,0
224,200,728453,549,1022,0
225,200,728453,549,1022,0
226,200,728484,548,1023,0
227,200,728843,548,1022,0
228,200,728859,548,1019,0
229,200,728859,547,1017,0
230,200,728890,547,1016,0
231,200,728890,547,1016,0
232,200,728906,547,1015,0
233,200,728921,547,1014,0
234,200,728921,547,1014,0
235,200,728953,547,1013,0
236,200,729000,547,1013,0
237,201,729265,547,1013,0
238,202,729265,547,1013,0
239,200,735687,548,998,0
240,200,735703,555,973,0
241,200,735703,563,951,0
242,200,735718,573,924,0
243,200,735734,585,890,0
244,200,735734,595,858,0
245,200,735750,608,822,0
246,200,735765,620,789,0
247,200,735765,630,758,0
248,200,735781,640,733,0
249,200,735781,644,719,0
250,200,735796,649,709,0
251,200,735796,652,702,0
252,200,736046,661,680,0
253,200,736062,673,652,0
254,200,736062,684,626,0
255,200,736078,695,605,0
256,200,736093,702,590,0
257,200,736093,708,580,0
258,200,736109,712,573,0
259,20a,736359,712,573,fffc0000
260,20a,736359,712,573,ffa00000
261,20a,736390,712,573,ffa00000
262,20a,736406,712,573,ffa00000
263,20a,736406,712,573,ffb80000
264,20a,736421,712,573,ffb80000
265,20a,736421,712,573,ffb80000
266,20a,736437,712,573,ffd00000
267,20a,736453,712,573,fff00000
268,20a,736453,712,573,fff00000
269,20a,736484,712,573,fff60000
270,20a,736500,712,573,fff70000
271,20a,736515,712,573,fff70000
272,20a,736531,712,573,fff70000
273,20a,736546,712,573,fff70000
274,20a,736578,712,573,fff70000
275,20a,736593,712,573,fff80000
276,20a,736609,712,573,fff80000
277,20a,736703,712,573,fffc0000
278,20a,736718,712,573,ffe00000
279,20a,736734,712,573,ffd00000
280,20a,736734,712,573,ffd00000
281,20a,736750,712,573,ffd00000
282,20a,736796,712,573,ffd00000
283,20a,736796,712,573,ffd00000
284,20a,736796,712,573,ffd00000
285,20a,736796,712,573,ffe00000
286,20a,736796,712,573,ffe00000
287,20a,736812,712,573,fff00000
288,20a,736828,712,573,fff00000
289,20a,736859,712,573,fff80000
290,20a,736875,712,573,fff90000
291,20a,736890,712,573,fff90000
292,20a,736906,712,573,fff90000
293,20a,736921,712,573,fff90000
294,20a,736937,712,573,fff90000
295,20a,736953,712,573,fffa0000
296,20a,736968,712,573,fffa0000
297,20a,737078,712,573,fffc0000
298,20a,737078,712,573,ffa00000
299,20a,737078,712,573,ffa00000
300,20a,737093,712,573,ffa00000
301,20a,737093,712,573,ffa00000
302,20a,737109,712,573,ffa00000
303,20a,737125,712,573,ffb80000
304,20a,737125,712,573,ffd00000
305,20a,737156,712,573,ffe00000
306,20a,737156,712,573,fff00000
307,20a,737171,712,573,fff80000
308,20a,737203,712,573,fff80000
309,20a,737218,712,573,fff90000
310,20a,737234,712,573,fff90000
311,20a,737250,712,573,fff90000
312,20a,737265,712,573,fff90000
313,20a,737281,712,573,fff90000
