version,1,startTime,2025-12-21 22:01:56.672,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,562181578,1157,2026,0
1,200,562181593,1127,2008,0
2,200,562181609,1091,1986,0
3,200,562181609,1045,1963,0
4,200,562181625,992,1940,0
5,200,562181640,927,1912,0
6,200,562181640,848,1883,0
7,200,562181656,763,1854,0
8,200,562181671,676,1830,0
9,200,562181671,595,1806,0
10,200,562181687,527,1789,0
11,200,562181703,478,1780,0
12,200,562181703,451,1775,0
13,200,562181718,438,1772,0
14,200,562181734,427,1771,0
15,200,562181984,398,1751,0
16,200,562182000,357,1721,0
17,200,562182000,313,1688,0
18,200,562182015,274,1654,0
19,200,562182015,239,1623,0
20,200,562182031,215,1598,0
21,200,562182046,201,1582,0
22,200,562182046,193,1571,0
23,200,562182062,188,1564,0
24,200,562182312,165,1554,0
25,200,562182312,149,1545,0
26,200,562182328,131,1538,0
27,200,562182343,117,1531,0
28,200,562182343,105,1525,0
29,200,562182359,96,1521,0
30,200,562182375,88,1519,0
31,200,562182375,83,1517,0
32,200,562182390,79,1515,0
33,200,562182406,77,1514,0
34,200,562182406,75,1513,0
35,200,562182421,74,1513,0
36,200,562182437,74,1512,0
37,200,562182437,73,1512,0
38,200,562182453,72,1512,0
39,200,562182578,72,1512,0
40,200,562182609,73,1512,0
41,200,562182625,73,1512,0
42,200,562182640,74,1512,0
43,200,562182671,75,1512,0
44,200,562182703,75,1512,0
45,200,562182718,76,1512,0
46,200,562182734,77,1512,0
47,200,562182765,78,1512,0
48,200,562182781,78,1512,0
49,200,562182796,79,1512,0
50,200,562182812,80,1512,0
51,200,562182828,80,1512,0
52,200,562182843,81,1512,0
53,200,562182859,82,1512,0
54,200,562182875,83,1512,0
55,200,562182906,83,1512,0
56,201,562182953,83,1512,0
57,202,562182968,83,1512,0
58,200,562183281,90,1513,0
59,200,562183296,100,1515,0
60,200,562183296,109,1517,0
61,200,562183312,118,1519,0
62,200,562183328,125,1522,0
63,200,562183328,134,1524,0
64,200,562183343,141,1527,0
65,200,562183359,148,1529,0
66,200,562183359,154,1531,0
67,200,562183375,158,1532,0
68,200,562183390,162,1534,0
69,200,562183390,166,1535,0
70,200,562183406,168,1536,0
71,200,562183421,170,1537,0
72,200,562183421,173,1538,0
73,200,562183437,175,1539,0
74,200,562183453,175,1539,0
75,200,562183453,176,1539,0
76,200,562183468,177,1539,0
77,200,562183468,177,1539,0
78,200,562183500,178,1540,0
79,200,562183515,179,1540,0
80,200,562183531,179,1541,0
81,200,562183546,180,1542,0
82,200,562183562,180,1542,0
83,200,562183593,180,1543,0
84,200,562183609,180,1544,0
85,200,562183625,180,1544,0
86,200,562183625,180,1545,0
87,200,562183640,179,1546,0
88,200,562183656,178,1547,0
89,200,562183656,177,1549,0
90,200,562183671,176,1551,0
91,200,562183687,175,1552,0
92,200,562183687,174,1553,0
93,200,562183703,174,1554,0
94,200,562183718,173,1555,0
95,200,562183718,172,1555,0
96,200,562183734,171,1556,0
97,200,562183750,171,1557,0
98,200,562183765,170,1557,0
99,200,562183796,169,1558,0
100,200,562183828,169,1559,0
101,200,562183828,168,1559,0
102,200,562183843,168,1560,0
103,200,562183859,167,1560,0
104,200,562183859,166,1560,0
105,200,562183890,166,1561,0
106,200,562183890,166,1562,0
107,200,562183906,165,1562,0
108,200,562183921,165,1562,0
109,200,562183921,164,1562,0
110,200,562183937,164,1563,0
111,200,562183953,164,1563,0
112,200,562183953,164,1564,0
113,200,562183968,163,1564,0
114,200,562183984,163,1565,0
115,200,562184000,162,1565,0
116,200,562184015,162,1565,0
117,200,562184015,161,1565,0
118,201,562184125,161,1565,0
119,202,562184125,161,1565,0
120,200,562184281,161,1565,0
121,200,562184281,161,1565,0
122,200,562184312,162,1565,0
123,200,562184328,163,1565,0
124,200,562184343,163,1565,0
125,200,562184359,164,1565,0
126,200,562184359,166,1565,0
127,200,562184375,168,1565,0
128,200,562184390,172,1567,0
129,200,562184390,175,1569,0
130,200,562184406,178,1571,0
131,200,562184421,182,1572,0
132,200,562184421,183,1573,0
133,200,562184437,185,1574,0
134,200,562184453,187,1575,0
135,200,562184453,189,1576,0
136,200,562184468,189,1576,0
137,200,562184484,191,1576,0
138,200,562184484,191,1576,0
139,200,562184500,192,1576,0
140,200,562184515,193,1576,0
141,200,562184515,194,1576,0
142,200,562184531,194,1576,0
143,200,562184546,195,1576,0
144,200,562184578,196,1576,0
145,200,562184593,196,1576,0
146,200,562184609,197,1576,0
147,200,562184625,198,1576,0
148,200,562184625,199,1576,0
149,200,562184640,202,1576,0
150,200,562184656,205,1576,0
151,200,562184656,210,1575,0
152,200,562184671,217,1573,0
153,200,562184687,224,1570,0
154,200,562184687,232,1567,0
155,200,562184703,239,1564,0
156,200,562184718,245,1561,0
157,200,562184718,252,1557,0
158,200,562184734,258,1555,0
159,200,562184750,263,1553,0
160,200,562184750,269,1550,0
161,200,562184765,273,1548,0
162,200,562184781,277,1546,0
163,200,562184781,282,1544,0
164,200,562184796,284,1543,0
165,200,562184812,288,1541,0
166,200,562184812,291,1539,0
167,200,562184828,294,1538,0
168,200,562184843,297,1538,0
169,200,562184843,299,1536,0
170,200,562184859,302,1535,0
171,200,562184875,305,1533,0
172,200,562184875,310,1531,0
173,200,562184890,318,1527,0
174,201,562184906,318,1527,0
175,202,562184906,318,1527,0
176,200,562185187,350,1516,0
177,200,562185187,387,1506,0
178,200,562185203,428,1495,0
179,200,562185218,464,1489,0
180,200,562185218,500,1483,0
181,200,562185234,528,1482,0
182,200,562185250,550,1478,0
183,200,562185250,575,1477,0
184,200,562185265,590,1475,0
185,200,562185281,605,1474,0
186,200,562185281,617,1473,0
187,200,562185296,629,1471,0
188,200,562185312,639,1471,0
189,200,562185312,646,1470,0
190,200,562185328,651,1470,0
191,200,562185343,655,1469,0
192,200,562185343,658,1469,0
193,200,562185359,660,1468,0
194,200,562185375,662,1468,0
195,200,562185375,664,1468,0
196,200,562185390,664,1468,0
197,200,562185406,665,1468,0
198,200,562185421,666,1468,0
199,200,562185437,666,1468,0
200,200,562186015,666,1468,0
201,200,562186500,666,1468,0
202,200,562186546,666,1468,0
203,200,562186578,664,1468,0
204,200,562186593,661,1468,0
205,200,562186609,635,1471,0
206,200,562186609,606,1473,0
207,200,562186625,578,1474,0
208,200,562186640,549,1478,0
209,200,562186640,525,1480,0
210,200,562186656,499,1483,0
211,200,562186671,477,1484,0
212,200,562186671,461,1486,0
213,200,562186687,446,1487,0
214,200,562186703,434,1489,0
215,200,562186703,425,1490,0
216,200,562186718,418,1490,0
217,200,562186734,415,1490,0
218,200,562186734,411,1491,0
219,200,562186750,409,1491,0
220,200,562186765,408,1491,0
221,200,562186765,407,1491,0
222,200,562186781,406,1491,0
223,200,562186796,406,1491,0
224,200,562186828,405,1491,0
225,200,562187125,381,1491,0
226,200,562187140,346,1494,0
227,200,562187140,311,1498,0
228,200,562187156,277,1506,0
229,200,562187171,244,1512,0
230,200,562187171,217,1519,0
231,200,562187187,194,1524,0
232,200,562187203,180,1528,0
233,200,562187203,167,1532,0
234,200,562187218,156,1535,0
235,200,562187234,147,1537,0
236,200,562187234,142,1539,0
237,200,562187250,138,1540,0
238,200,562187265,135,1541,0
239,200,562187265,132,1542,0
