version = 1
startTime = 2025-12-13 08:57:01.091
screenWidth = 1920
screenHeight = 1080
----------------------------------------
Event 58: MsgID=512, Time=235897281, X=1713, Y=2029, MouseData=0, Flags=0, TimeStamp=235897281
Event 59: MsgID=512, Time=235897281, X=1709, Y=2024, MouseData=0, Flags=0, TimeStamp=235897281
Event 60: MsgID=512, Time=235897296, X=1706, Y=2022, MouseData=0, Flags=0, TimeStamp=235897296
Event 61: MsgID=512, Time=235897296, X=1701, Y=2018, MouseData=0, Flags=0, TimeStamp=235897296
Event 62: MsgID=512, Time=235897312, X=1698, Y=2014, MouseData=0, Flags=0, TimeStamp=235897312
Event 63: MsgID=512, Time=235897312, X=1694, Y=2011, MouseData=0, Flags=0, TimeStamp=235897312
Event 64: MsgID=512, Time=235897328, X=1691, Y=2008, MouseData=0, Flags=0, TimeStamp=235897328
Event 65: MsgID=512, Time=235897328, X=1687, Y=2005, MouseData=0, Flags=0, TimeStamp=235897328
Event 66: MsgID=512, Time=235897343, X=1682, Y=2000, MouseData=0, Flags=0, TimeStamp=235897343
Event 67: MsgID=512, Time=235897343, X=1678, Y=1997, MouseData=0, Flags=0, TimeStamp=235897343
Event 68: MsgID=512, Time=235897359, X=1672, Y=1992, MouseData=0, Flags=0, TimeStamp=235897359
Event 69: MsgID=512, Time=235897359, X=1667, Y=1989, MouseData=0, Flags=0, TimeStamp=235897359
Event 70: MsgID=512, Time=235897375, X=1661, Y=1985, MouseData=0, Flags=0, TimeStamp=235897375
Event 71: MsgID=512, Time=235897375, X=1657, Y=1982, MouseData=0, Flags=0, TimeStamp=235897375
Event 72: MsgID=512, Time=235897390, X=1651, Y=1978, MouseData=0, Flags=0, TimeStamp=235897390
Event 73: MsgID=512, Time=235897390, X=1646, Y=1976, MouseData=0, Flags=0, TimeStamp=235897390
Event 74: MsgID=512, Time=235897406, X=1640, Y=1973, MouseData=0, Flags=0, TimeStamp=235897406
Event 75: MsgID=512, Time=235897406, X=1634, Y=1970, MouseData=0, Flags=0, TimeStamp=235897406
Event 76: MsgID=512, Time=235897421, X=1629, Y=1968, MouseData=0, Flags=0, TimeStamp=235897421
Event 77: MsgID=512, Time=235897421, X=1624, Y=1966, MouseData=0, Flags=0, TimeStamp=235897421
Event 78: MsgID=512, Time=235897437, X=1620, Y=1964, MouseData=0, Flags=0, TimeStamp=235897437
Event 79: MsgID=512, Time=235897437, X=1616, Y=1962, MouseData=0, Flags=0, TimeStamp=235897437
Event 80: MsgID=512, Time=235897453, X=1613, Y=1961, MouseData=0, Flags=0, TimeStamp=235897453
Event 81: MsgID=512, Time=235897453, X=1612, Y=1960, MouseData=0, Flags=0, TimeStamp=235897453
Event 82: MsgID=512, Time=235897468, X=1610, Y=1959, MouseData=0, Flags=0, TimeStamp=235897468
Event 83: MsgID=512, Time=235897468, X=1608, Y=1958, MouseData=0, Flags=0, TimeStamp=235897468
Event 84: MsgID=512, Time=235897484, X=1607, Y=1958, MouseData=0, Flags=0, TimeStamp=235897484
Event 85: MsgID=512, Time=235897500, X=1606, Y=1957, MouseData=0, Flags=0, TimeStamp=235897500
Event 86: MsgID=512, Time=235897500, X=1605, Y=1956, MouseData=0, Flags=0, TimeStamp=235897500
Event 87: MsgID=512, Time=235897515, X=1604, Y=1956, MouseData=0, Flags=0, TimeStamp=235897515
Event 88: MsgID=512, Time=235897515, X=1603, Y=1955, MouseData=0, Flags=0, TimeStamp=235897515
Event 89: MsgID=512, Time=235897531, X=1601, Y=1954, MouseData=0, Flags=0, TimeStamp=235897531
Event 90: MsgID=512, Time=235897531, X=1599, Y=1953, MouseData=0, Flags=0, TimeStamp=235897531
Event 91: MsgID=512, Time=235897546, X=1598, Y=1952, MouseData=0, Flags=0, TimeStamp=235897546
Event 92: MsgID=512, Time=235897546, X=1596, Y=1951, MouseData=0, Flags=0, TimeStamp=235897546
Event 93: MsgID=512, Time=235897562, X=1593, Y=1949, MouseData=0, Flags=0, TimeStamp=235897562
Event 94: MsgID=512, Time=235897562, X=1590, Y=1947, MouseData=0, Flags=0, TimeStamp=235897562
Event 95: MsgID=512, Time=235897578, X=1588, Y=1946, MouseData=0, Flags=0, TimeStamp=235897578
Event 96: MsgID=512, Time=235897578, X=1585, Y=1945, MouseData=0, Flags=0, TimeStamp=235897578
Event 97: MsgID=512, Time=235897593, X=1583, Y=1944, MouseData=0, Flags=0, TimeStamp=235897593
Event 98: MsgID=512, Time=235897593, X=1580, Y=1942, MouseData=0, Flags=0, TimeStamp=235897593
Event 99: MsgID=512, Time=235897609, X=1577, Y=1940, MouseData=0, Flags=0, TimeStamp=235897609
Event 100: MsgID=512, Time=235897609, X=1575, Y=1938, MouseData=0, Flags=0, TimeStamp=235897609
