version,1,startTime,2025-12-31 12:08:01.249,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,57455156,d,1c,80
1,100,57460093,31,2,0
2,101,57460234,31,2,80
3,100,57460843,32,3,0
4,101,57460984,32,3,80
5,100,57461156,33,4,0
6,101,57461281,33,4,80
7,100,57461859,8,e,0
8,101,57461921,8,e,80
9,100,57462109,8,e,0
10,101,57462187,8,e,80
11,100,57462437,8,e,0
12,101,57462515,8,e,80
13,100,57465953,32,3,0
14,101,57466062,32,3,80
15,100,57466703,d,1c,0
