version,1,startTime,2025-12-21 22:01:56.672,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
213,101,562199328,8,e,90
214,100,562199328,8,e,10
215,101,562199328,8,e,90
216,100,562199328,8,e,10
217,101,562199328,8,e,90
218,100,562199328,8,e,10
219,101,562199328,8,e,90
220,100,562199328,8,e,10
221,101,562199328,8,e,90
222,100,562199328,8,e,10
223,101,562199328,8,e,90
224,100,562199343,8,e,10
225,101,562199343,8,e,90
226,100,562199343,8,e,10
227,101,562199343,8,e,90
228,100,562199343,8,e,10
229,101,562199343,8,e,90
230,100,562199343,8,e,10
231,101,562199343,8,e,90
232,100,562199343,8,e,10
233,101,562199343,8,e,90
234,100,562199343,8,e,10
235,101,562199343,8,e,90
236,100,562199343,8,e,10
237,101,562199343,8,e,90
238,100,562199343,8,e,10
239,101,562199343,8,e,90
240,100,562199343,8,e,10
241,101,562199359,8,e,90
242,100,562199359,8,e,10
243,101,562199359,8,e,90
244,100,562199359,8,e,10
245,101,562199359,8,e,90
246,100,562199359,8,e,10
247,101,562199359,8,e,90
248,100,562199359,8,e,10
249,101,562199359,8,e,90
250,100,562199359,8,e,10
251,101,562199359,8,e,90
252,100,562199359,8,e,10
253,101,562199359,8,e,90
254,100,562199359,8,e,10
255,101,562199359,8,e,90
256,100,562199375,8,e,10
257,101,562199375,8,e,90
258,100,562199375,8,e,10
259,101,562199375,8,e,90
260,100,562199375,8,e,10
261,101,562199375,8,e,90
262,100,562199375,8,e,10
263,101,562199375,8,e,90
264,100,562199375,8,e,10
265,101,562199375,8,e,90
266,100,562199375,8,e,10
267,101,562199375,8,e,90
268,100,562199375,8,e,10
269,101,562199375,8,e,90
270,100,562199375,8,e,10
271,101,562199375,8,e,90
272,100,562199375,8,e,10
273,101,562199375,8,e,90
274,100,562199390,8,e,10
275,101,562199390,8,e,90
276,100,562199390,8,e,10
277,101,562199390,8,e,90
278,100,562199390,8,e,10
279,101,562199390,8,e,90
280,100,562199390,8,e,10
281,101,562199390,8,e,90
282,100,562199390,8,e,10
283,101,562199390,8,e,90
284,100,562199390,8,e,10
285,101,562199390,8,e,90
286,100,562199390,8,e,10
287,101,562199390,8,e,90
288,100,562199390,8,e,10
289,101,562199390,8,e,90
290,100,562199390,8,e,10
291,101,562199406,8,e,90
292,100,562199406,8,e,10
293,101,562199406,8,e,90
294,100,562199406,8,e,10
295,101,562199406,8,e,90
296,100,562199406,8,e,10
297,101,562199406,8,e,90
298,100,562199406,8,e,10
299,101,562199406,8,e,90
300,100,562199406,8,e,10
301,101,562199406,8,e,90
302,100,562199406,8,e,10
303,101,562199406,8,e,90
304,100,562199406,8,e,10
305,101,562199406,8,e,90
306,100,562199406,8,e,10
307,101,562199406,8,e,90
308,100,562199421,8,e,10
309,101,562199421,8,e,90
310,100,562199421,8,e,10
311,101,562199421,8,e,90
312,100,562199421,8,e,10
313,101,562199421,8,e,90
314,100,562199421,8,e,10
315,101,562199421,8,e,90
316,100,562199421,8,e,10
317,101,562199421,8,e,90
318,100,562199421,8,e,10
319,101,562199421,8,e,90
320,100,562199421,8,e,10
321,101,562199421,8,e,90
322,100,562199421,8,e,10
323,101,562199421,8,e,90
324,100,562199421,8,e,10
325,101,562199421,8,e,90
326,100,562199437,e7,73,10
327,101,562199437,e7,73,90
328,100,562199437,e7,61,10
329,101,562199437,e7,61,90
330,100,562199437,e7,73,10
331,101,562199437,e7,73,90
332,100,562199437,e7,61,10
333,101,562199437,e7,61,90
334,100,562199437,e7,64,10
335,101,562199437,e7,64,90
336,100,562199437,e7,61,10
337,101,562199437,e7,61,90
338,100,562199437,e7,64,10
339,101,562199437,e7,64,90
340,100,562199437,e7,61,10
341,101,562199437,e7,61,90
342,100,562199437,e7,64,10
343,101,562199437,e7,64,90
344,100,562199437,e7,73,10
345,101,562199437,e7,73,90
346,100,562199437,e7,61,10
347,101,562199437,e7,61,90
348,100,562199437,e7,64,10
349,101,562199437,e7,64,90
350,100,562199437,e7,61,10
351,101,562199437,e7,61,90
352,100,562199437,e7,64,10
353,101,562199437,e7,64,90
354,100,562199437,e7,68,10
355,101,562199453,e7,68,90
356,100,562199453,e7,61,10
357,101,562199453,e7,61,90
358,100,562199453,e7,6a,10
359,101,562199453,e7,6a,90
360,100,562199453,e7,64,10
361,101,562199453,e7,64,90
362,100,562199453,e7,68,10
363,101,562199453,e7,68,90
364,100,562199453,e7,6a,10
365,101,562199453,e7,6a,90
366,100,562199453,e7,6b,10
367,101,562199453,e7,6b,90
368,100,562199453,e7,61,10
369,101,562199453,e7,61,90
370,100,562199453,e7,73,10
371,101,562199453,e7,73,90
372,100,562199453,e7,68,10
373,101,562199453,e7,68,90
374,100,562199453,e7,64,10
375,101,562199453,e7,64,90
376,100,562199453,e7,6a,10
377,101,562199453,e7,6a,90
378,100,562199453,e7,6b,10
379,101,562199453,e7,6b,90
380,100,562199453,e7,61,10
381,101,562199453,e7,61,90
382,100,562199453,e7,73,10
383,101,562199453,e7,73,90
384,100,562199468,e7,68,10
385,101,562199468,e7,68,90
386,100,562199468,e7,64,10
387,101,562199468,e7,64,90
388,100,562199468,e7,6a,10
389,101,562199468,e7,6a,90
390,100,562199468,e7,6b,10
391,101,562199468,e7,6b,90
392,100,562199468,e7,73,10
393,101,562199468,e7,73,90
394,100,562199468,e7,61,10
395,101,562199468,e7,61,90
396,100,562199468,e7,68,10
397,101,562199468,e7,68,90
398,100,562199468,e7,6a,10
399,101,562199468,e7,6a,90
400,100,562199468,e7,6b,10
401,101,562199468,e7,6b,90
402,100,562199468,e7,64,10
403,101,562199468,e7,64,90
404,100,562199468,e7,61,10
405,101,562199468,e7,61,90
406,100,562199468,e7,73,10
407,101,562199468,e7,73,90
408,100,562199468,e7,63,10
409,101,562199468,e7,63,90
410,100,562199468,e7,62,10
411,101,562199468,e7,62,90
412,100,562199468,e7,61,10
413,101,562199468,e7,61,90
414,100,562199484,e7,73,10
415,101,562199484,e7,73,90
416,100,562199484,e7,63,10
417,101,562199484,e7,63,90
418,100,562199484,e7,62,10
419,101,562199484,e7,62,90
420,100,562199484,e7,61,10
421,101,562199484,e7,61,90
422,100,562199484,e7,6a,10
423,101,562199484,e7,6a,90
424,100,562199484,e7,6b,10
425,101,562199484,e7,6b,90
426,100,562199484,e7,73,10
427,101,562199484,e7,73,90
428,100,562199484,e7,62,10
429,101,562199484,e7,62,90
430,100,562199484,e7,63,10
431,101,562199484,e7,63,90
432,100,562199484,e7,6a,10
433,101,562199484,e7,6a,90
434,100,562199484,e7,6b,10
435,101,562199484,e7,6b,90
436,100,562199484,e7,61,10
437,101,562199484,e7,61,90
438,100,562199484,e7,73,10
439,101,562199500,e7,73,90
440,100,562199500,e7,62,10
441,101,562199500,e7,62,90
442,100,562199500,e7,63,10
443,101,562199500,e7,63,90
444,100,562199500,e7,6a,10
445,101,562199500,e7,6a,90
446,100,562199500,e7,6b,10
447,101,562199500,e7,6b,90
448,100,562199500,e7,73,10
449,101,562199500,e7,73,90
450,100,562199500,e7,61,10
451,101,562199500,e7,61,90
452,100,562199500,e7,62,10
453,101,562199500,e7,62,90
454,100,562199500,e7,63,10
455,101,562199500,e7,63,90
456,100,562199500,e7,6a,10
457,101,562199500,e7,6a,90
458,100,562199500,e7,61,10
459,101,562199500,e7,61,90
460,100,562199500,e7,73,10
461,101,562199500,e7,73,90
462,100,562199500,e7,62,10
463,101,562199500,e7,62,90
464,100,562199500,e7,63,10
465,101,562199500,e7,63,90
466,100,562199500,e7,6a,10
467,101,562199500,e7,6a,90
468,100,562199500,e7,61,10
469,101,562199500,e7,61,90
470,100,562199500,e7,73,10
471,101,562199515,e7,73,90
472,100,562199515,e7,62,10
473,101,562199515,e7,62,90
474,100,562199515,e7,63,10
475,101,562199515,e7,63,90
476,100,562199515,e7,6a,10
477,101,562199515,e7,6a,90
478,100,562199515,e7,61,10
479,101,562199515,e7,61,90
480,100,562199515,e7,73,10
481,101,562199515,e7,73,90
482,100,562199515,e7,62,10
483,101,562199515,e7,62,90
484,100,562199515,e7,63,10
485,101,562199515,e7,63,90
486,100,562199515,e7,2c,10
487,101,562199515,e7,2c,90
488,100,562199515,4a,24,0
489,101,562199515,43,2e,80
490,100,562199515,41,1e,0
491,100,562199515,53,1f,0
492,101,562199515,4a,24,80
493,101,562199515,bc,33,80
494,100,562199515,42,30,0
495,101,562199515,41,1e,80
496,100,562199515,43,2e,0
497,101,562199531,42,30,80
498,101,562199531,53,1f,80
499,100,562199531,4b,25,0
500,100,562199531,4a,24,0
501,100,562199531,41,1e,0
502,101,562199531,4b,25,80
503,101,562199531,43,2e,80
504,100,562199531,53,1f,0
505,101,562199531,4a,24,80
506,100,562199546,48,23,0
507,101,562199593,48,23,80
508,101,562199609,41,1e,80
509,100,562199625,43,2e,0
510,100,562199625,4a,24,0
511,100,562199625,4b,25,0
512,101,562199640,53,1f,80
513,101,562199687,4b,25,80
514,101,562199718,4a,24,80
515,100,562199718,42,30,0
516,100,562199718,41,1e,0
517,101,562199718,43,2e,80
518,100,562199734,53,1f,0
519,101,562199796,42,30,80
520,100,562199796,4a,24,0
521,100,562199828,43,2e,0
522,101,562199828,41,1e,80
523,101,562199859,53,1f,80
524,101,562199875,4a,24,80
525,100,562199906,42,30,0
526,100,562199921,41,1e,0
527,100,562199937,53,1f,0
528,101,562199937,43,2e,80
529,100,562199968,4a,24,0
530,100,562199968,4b,25,0
531,101,562199984,42,30,80
532,100,562200046,43,2e,0
533,101,562200046,41,1e,80
534,101,562200062,53,1f,80
535,101,562200062,4a,24,80
536,101,562200062,4b,25,80
537,100,562200078,42,30,0
538,100,562200125,41,1e,0
539,100,562200140,53,1f,0
540,101,562200140,43,2e,80
541,101,562200156,42,30,80
542,100,562200171,4b,25,0
543,100,562200171,4a,24,0
544,101,562200218,53,1f,80
545,101,562200250,41,1e,80
546,101,562200250,4b,25,80
547,100,562200250,43,2e,0
548,101,562200250,4a,24,80
549,100,562200265,42,30,0
550,101,562200328,42,30,80
551,100,562200343,41,1e,0
552,100,562200343,4a,24,0
553,100,562200343,4b,25,0
554,101,562200359,43,2e,80
555,101,562200421,4b,25,80
556,101,562200421,4a,24,80
557,100,562200437,48,23,0
558,101,562200453,41,1e,80
559,100,562200468,44,20,0
560,101,562200500,48,23,80
561,100,562200546,4a,24,0
562,100,562200546,4b,25,0
563,101,562200562,44,20,80
564,100,562200562,41,1e,0
565,100,562200578,57,11,0
566,101,562200625,4b,25,80
567,101,562200625,4a,24,80
568,100,562200671,44,20,0
569,101,562200687,41,1e,80
570,101,562200703,57,11,80
571,100,562200781,41,1e,0
572,101,562200781,44,20,80
573,100,562200781,57,11,0
574,100,562200859,42,30,0
575,101,562200890,41,1e,80
576,100,562200890,43,2e,0
577,101,562200921,57,11,80
578,101,562200953,42,30,80
579,100,562200968,41,1e,0
580,101,562201015,43,2e,80
581,101,562201078,41,1e,80
582,100,562270296,a2,1d,0
583,100,562270468,53,1f,0
584,101,562270593,a2,1d,80
585,101,562270609,53,1f,80
586,100,562281843,a2,1d,0
587,100,562282000,53,1f,0
588,101,562282078,a2,1d,80
589,101,562282140,53,1f,80
590,100,562285953,43,2e,0
591,101,562286062,43,2e,80
592,100,562286156,41,1e,0
593,101,562286265,41,1e,80
594,100,562286343,41,1e,0
595,100,562286343,8,e,10
596,101,562286343,8,e,90
597,100,562286343,e7,e2,10
598,101,562286343,e7,e2,90
599,100,562286406,50,19,0
600,101,562286453,41,1e,80
601,101,562286500,50,19,80
602,100,562286640,4a,24,0
603,100,562286640,8,e,10
604,101,562286640,8,e,90
605,100,562286640,8,e,10
606,101,562286640,8,e,90
607,100,562286656,e7,1ead,10
608,101,562286656,e7,1ead,90
609,100,562286656,e7,70,10
610,101,562286656,e7,70,90
611,101,562286718,4a,24,80
612,100,562286843,20,39,0
613,101,562286937,20,39,80
614,100,562287031,4e,31,0
615,101,562287125,4e,31,80
616,100,562287218,48,23,0
617,101,562287312,48,23,80
618,100,562287390,41,1e,0
619,101,562287484,41,1e,80
620,100,562287578,41,1e,0
621,100,562287578,8,e,10
622,101,562287578,8,e,90
623,100,562287578,e7,e2,10
624,101,562287578,e7,e2,90
625,101,562287703,41,1e,80
626,100,562287718,54,14,0
627,101,562287781,54,14,80
628,100,562288281,48,23,0
629,101,562288359,48,23,80
630,100,562288515,20,39,0
631,100,562288515,8,e,10
632,101,562288515,8,e,90
633,100,562288515,8,e,10
634,101,562288515,8,e,90
635,100,562288515,8,e,10
636,101,562288515,8,e,90
637,100,562288515,8,e,10
638,101,562288515,8,e,90
639,100,562288515,8,e,10
640,101,562288515,8,e,90
641,100,562288515,e7,6e,10
642,101,562288515,e7,6e,90
643,100,562288515,e7,68,10
644,101,562288515,e7,68,90
645,100,562288515,e7,61,10
646,101,562288515,e7,61,90
647,100,562288515,e7,61,10
648,101,562288515,e7,61,90
649,100,562288515,e7,74,10
650,101,562288515,e7,74,90
651,100,562288531,e7,68,10
652,101,562288531,e7,68,90
653,100,562288531,e7,20,10
654,101,562288531,e7,20,90
655,101,562288609,20,39,80
656,100,562288734,47,22,0
657,101,562288796,47,22,80
658,100,562288906,48,23,0
659,101,562288984,48,23,80
660,100,562289093,49,17,0
661,101,562289171,49,17,80
662,100,562289296,20,39,0
663,101,562289375,20,39,80
664,100,562289515,4c,26,0
665,101,562289593,4c,26,80
666,100,562289687,4f,18,0
667,101,562289781,4f,18,80
668,100,562289906,47,22,0
669,101,562289984,47,22,80
670,100,562290109,20,39,0
671,101,562290218,20,39,80
672,100,562290296,42,30,0
673,101,562290390,42,30,80
674,100,562290703,41,1e,0
675,101,562290812,41,1e,80
676,100,562290843,4e,31,0
677,100,562290937,46,21,0
678,100,562290937,8,e,10
679,101,562290937,8,e,90
680,100,562290937,8,e,10
681,101,562290937,8,e,90
682,100,562290937,e7,e0,10
683,101,562290937,e7,e0,90
684,100,562290937,e7,6e,10
685,101,562290937,e7,6e,90
686,101,562290937,4e,31,80
687,101,562291031,46,21,80
688,100,562291062,20,39,0
689,101,562291156,20,39,80
690,100,562291765,50,19,0
691,101,562291875,50,19,80
692,100,562292046,48,23,0
693,101,562292140,48,23,80
694,100,562292312,4f,18,0
695,101,562292375,4f,18,80
696,100,562292593,4d,32,0
697,101,562292656,4d,32,80
698,100,562293140,8,e,0
699,101,562293218,8,e,80
