ERROR,error key, current key Enter
MOUSE_MOVE,from X=550, Y=389 to X=554, Y=383
MOUSE_WHEEL,Total delta=-1706
MOUSE_MOVE,from X=554, Y=383 to X=557, Y=380
MOUSE_WHEEL,Total delta=-12
MOUSE_MOVE,from X=557, Y=380 to X=565, Y=367
MOUSE_WHEEL,Total delta=-802
MOUSE_MOVE,from X=573, Y=358 to X=578, Y=349
MOUSE_WHEEL,Total delta=-12
MOUSE_WHEEL,Total delta=-777
MOUSE_MOVE,from X=583, Y=343 to X=592, Y=347
MOUSE_WHEEL,Total delta=20
MOUSE_MOVE,from X=625, Y=384 to X=612, Y=384
MOUSE_WHEEL,Total delta=-408
MOUSE_MOVE,from X=590, Y=323 to X=589, Y=328
MOUSE_WHEEL,Total delta=1194
MOUSE_MOVE,from X=589, Y=328 to X=587, Y=333
MOUSE_WHEEL,Total delta=16
MOUSE_MOVE,from X=587, Y=333 to X=586, Y=336
MOUSE_WHEEL,Total delta=14
MOUSE_MOVE,from X=586, Y=336 to X=586, Y=341
MOUSE_WHEEL,Total delta=896
MOUSE_MOVE,from X=586, Y=341 to X=585, Y=346
MOUSE_WHEEL,Total delta=21
MOUSE_WHEEL,Total delta=1263
MOUSE_MOVE,from X=585, Y=348 to X=564, Y=329
MOUSE_L_CLICK,Time=629359, X=162, Y=183
MOUSE_MOVE,from X=162, Y=183 to X=162, Y=183
MOUSE_L_CLICK,Time=630281, X=164, Y=173
MOUSE_MOVE,from X=164, Y=173 to X=164, Y=173
MOUSE_L_CLICK,Time=631859, X=180, Y=137
MOUSE_MOVE,from X=180, Y=137 to X=180, Y=136
MOUSE_L_CLICK,Time=632687, X=182, Y=124
MOUSE_MOVE,from X=182, Y=124 to X=196, Y=129
MOUSE_WHEEL,Total delta=-3414
MOUSE_MOVE,from X=553, Y=387 to X=560, Y=400
MOUSE_MOVE,from X=617, Y=516 to X=616, Y=516
MOUSE_L_DRAG_DROP,from X=617, Y=516 to X=475, Y=511
KEY_COMBO_2,Ctrl + C
KEY_PRESS,Ctrl
KEY_PRESS,C
MOUSE_MOVE,from X=475, Y=511 to X=489, Y=510
MOUSE_L_CLICK,Time=639875, X=832, Y=489
